"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Status code validation for 405","382","Status code validation - 405","","Mon Mar 16 09:37:21 UTC 2026","passed","Mon Mar 16 09:37:21 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode405Validation"
"DELETE call to erase a booking in the database","2490","Delete booking","","Mon Mar 16 09:37:11 UTC 2026","passed","Mon Mar 16 09:37:13 UTC 2026","","Delete booking","features.DeleteBooking","deleteBooking"
"Status code validation for 200","542","Status code validation - 200","","Mon Mar 16 09:37:22 UTC 2026","passed","Mon Mar 16 09:37:23 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode200Validation"
"Status code validation for 403","373","Status code validation - 403","","Mon Mar 16 09:37:23 UTC 2026","passed","Mon Mar 16 09:37:24 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode403Validation"
"Status code validation for 500","384","Status code validation - 500","","Mon Mar 16 09:37:21 UTC 2026","passed","Mon Mar 16 09:37:22 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode500Validation"
"PUT call to update a booking in the database","880","Put update booking","","Mon Mar 16 09:37:19 UTC 2026","passed","Mon Mar 16 09:37:20 UTC 2026","","Put update booking","features.PutUpdateBooking","putUpdateBooking"
"GET call to retrieve a booking by id","445","Get booking by id","","Mon Mar 16 09:37:14 UTC 2026","passed","Mon Mar 16 09:37:14 UTC 2026","","Get booking by id","features.GetBookingByIdTest","getBookingById"
"GET health check to confirm whether the API is up and running","410","Health check","","Mon Mar 16 09:37:15 UTC 2026","passed","Mon Mar 16 09:37:16 UTC 2026","","Health check","features.GetHealthCheck","getHealthCheck"
"PATCH call to partially update a booking in the database","858","Patch partial update booking","","Mon Mar 16 09:37:16 UTC 2026","passed","Mon Mar 16 09:37:17 UTC 2026","","Patch partial update booking","features.PatchPartialUpdateBooking","patchPartialUpdateBooking"
"Different calls validations to change the status of a booking form created to deleted","3786","Workflow","","Mon Mar 16 09:37:24 UTC 2026","passed","Mon Mar 16 09:37:28 UTC 2026","","Workflow validation","features.WorkFlowTest","workflow"
"GET call to retrieve all bookings id list","683","Get all booking id list","","Mon Mar 16 09:37:14 UTC 2026","passed","Mon Mar 16 09:37:15 UTC 2026","","Get booking id list","features.GetBookingIdListTest","getAllBookingIdList"
"Status code validation for 404","380","Status code validation - 404","","Mon Mar 16 09:37:23 UTC 2026","passed","Mon Mar 16 09:37:23 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode404Validation"
"POST call to create a new booking in the database","968","Post create booking","","Mon Mar 16 09:37:17 UTC 2026","passed","Mon Mar 16 09:37:18 UTC 2026","","Post create booking","features.PostCreateBookingTest","postCreateBooking"
"Status code validation for 201","362","Status code validation - 201","","Mon Mar 16 09:37:23 UTC 2026","passed","Mon Mar 16 09:37:23 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode201Validation"
"Status code validation for 400","382","Status code validation - 400","","Mon Mar 16 09:37:22 UTC 2026","passed","Mon Mar 16 09:37:22 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode400Validation"
