"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"POST call to create a new booking in the database","833","Post create booking","","2026-06-04","passed","2026-06-04","","Post create booking","features.PostCreateBookingTest","postCreateBooking"
"PATCH call to partially update a booking in the database","701","Patch partial update booking","","2026-06-04","passed","2026-06-04","","Patch partial update booking","features.PatchPartialUpdateBooking","patchPartialUpdateBooking"
"Status code validation for 405","278","Status code validation - 405","","2026-06-04","passed","2026-06-04","","Status code validation","features.StatusCodeValidationTest","statusCode405Validation"
"Status code validation for 403","268","Status code validation - 403","","2026-06-04","passed","2026-06-04","","Status code validation","features.StatusCodeValidationTest","statusCode403Validation"
"Status code validation for 200","397","Status code validation - 200","","2026-06-04","passed","2026-06-04","","Status code validation","features.StatusCodeValidationTest","statusCode200Validation"
"PUT call to update a booking in the database","721","Put update booking","","2026-06-04","passed","2026-06-04","","Put update booking","features.PutUpdateBooking","putUpdateBooking"
"DELETE call to erase a booking in the database","2166","Delete booking","","2026-06-04","passed","2026-06-04","","Delete booking","features.DeleteBooking","deleteBooking"
"Status code validation for 400","276","Status code validation - 400","","2026-06-04","passed","2026-06-04","","Status code validation","features.StatusCodeValidationTest","statusCode400Validation"
"Status code validation for 201","273","Status code validation - 201","","2026-06-04","passed","2026-06-04","","Status code validation","features.StatusCodeValidationTest","statusCode201Validation"
"Status code validation for 404","275","Status code validation - 404","","2026-06-04","passed","2026-06-04","","Status code validation","features.StatusCodeValidationTest","statusCode404Validation"
"GET call to retrieve a booking by id","349","Get booking by id","","2026-06-04","passed","2026-06-04","","Get booking by id","features.GetBookingByIdTest","getBookingById"
"GET call to retrieve all bookings id list","467","Get all booking id list","","2026-06-04","passed","2026-06-04","","Get booking id list","features.GetBookingIdListTest","getAllBookingIdList"
"Status code validation for 500","279","Status code validation - 500","","2026-06-04","passed","2026-06-04","","Status code validation","features.StatusCodeValidationTest","statusCode500Validation"
"Different calls validations to change the status of a booking form created to deleted","2809","Workflow","","2026-06-04","passed","2026-06-04","","Workflow validation","features.WorkFlowTest","workflow"
"GET health check to confirm whether the API is up and running","279","Health check","","2026-06-04","passed","2026-06-04","","Health check","features.GetHealthCheck","getHealthCheck"
