"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Status code validation for 500","196","Status code validation - 500","","2026-07-16","passed","2026-07-16","","Status code validation","features.StatusCodeValidationTest","statusCode500Validation"
"Status code validation for 200","207","Status code validation - 200","","2026-07-16","passed","2026-07-16","","Status code validation","features.StatusCodeValidationTest","statusCode200Validation"
"PATCH call to partially update a booking in the database","553","Patch partial update booking","","2026-07-16","passed","2026-07-16","","Patch partial update booking","features.PatchPartialUpdateBooking","patchPartialUpdateBooking"
"Status code validation for 403","165","Status code validation - 403","","2026-07-16","passed","2026-07-16","","Status code validation","features.StatusCodeValidationTest","statusCode403Validation"
"Status code validation for 400","214","Status code validation - 400","","2026-07-16","passed","2026-07-16","","Status code validation","features.StatusCodeValidationTest","statusCode400Validation"
"Status code validation for 404","195","Status code validation - 404","","2026-07-16","passed","2026-07-16","","Status code validation","features.StatusCodeValidationTest","statusCode404Validation"
"GET call to retrieve a booking by id","295","Get booking by id","","2026-07-16","passed","2026-07-16","","Get booking by id","features.GetBookingByIdTest","getBookingById"
"Different calls validations to change the status of a booking form created to deleted","2127","Workflow","","2026-07-16","passed","2026-07-16","","Workflow validation","features.WorkFlowTest","workflow"
"Status code validation for 201","168","Status code validation - 201","","2026-07-16","passed","2026-07-16","","Status code validation","features.StatusCodeValidationTest","statusCode201Validation"
"PUT call to update a booking in the database","532","Put update booking","","2026-07-16","passed","2026-07-16","","Put update booking","features.PutUpdateBooking","putUpdateBooking"
"Status code validation for 405","180","Status code validation - 405","","2026-07-16","passed","2026-07-16","","Status code validation","features.StatusCodeValidationTest","statusCode405Validation"
"POST call to create a new booking in the database","609","Post create booking","","2026-07-16","passed","2026-07-16","","Post create booking","features.PostCreateBookingTest","postCreateBooking"
"GET call to retrieve all bookings id list","216","Get all booking id list","","2026-07-16","passed","2026-07-16","","Get booking id list","features.GetBookingIdListTest","getAllBookingIdList"
"DELETE call to erase a booking in the database","1925","Delete booking","","2026-07-16","passed","2026-07-16","","Delete booking","features.DeleteBooking","deleteBooking"
"GET health check to confirm whether the API is up and running","201","Health check","","2026-07-16","passed","2026-07-16","","Health check","features.GetHealthCheck","getHealthCheck"
