"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Status code validation for 400","191","Status code validation - 400","","2026-09-03","passed","2026-09-03","","Status code validation","features.StatusCodeValidationTest","statusCode400Validation"
"PATCH call to partially update a booking in the database","524","Patch partial update booking","","2026-09-03","passed","2026-09-03","","Patch partial update booking","features.PatchPartialUpdateBooking","patchPartialUpdateBooking"
"Status code validation for 500","234","Status code validation - 500","","2026-09-03","passed","2026-09-03","","Status code validation","features.StatusCodeValidationTest","statusCode500Validation"
"Different calls validations to change the status of a booking form created to deleted","2132","Workflow","","2026-09-03","passed","2026-09-03","","Workflow validation","features.WorkFlowTest","workflow"
"DELETE call to erase a booking in the database","1811","Delete booking","","2026-09-03","passed","2026-09-03","","Delete booking","features.DeleteBooking","deleteBooking"
"GET call to retrieve a booking by id","256","Get booking by id","","2026-09-03","passed","2026-09-03","","Get booking by id","features.GetBookingByIdTest","getBookingById"
"Status code validation for 200","276","Status code validation - 200","","2026-09-03","passed","2026-09-03","","Status code validation","features.StatusCodeValidationTest","statusCode200Validation"
"Status code validation for 405","227","Status code validation - 405","","2026-09-03","passed","2026-09-03","","Status code validation","features.StatusCodeValidationTest","statusCode405Validation"
"Status code validation for 201","174","Status code validation - 201","","2026-09-03","passed","2026-09-03","","Status code validation","features.StatusCodeValidationTest","statusCode201Validation"
"GET health check to confirm whether the API is up and running","202","Health check","","2026-09-03","passed","2026-09-03","","Health check","features.GetHealthCheck","getHealthCheck"
"GET call to retrieve all bookings id list","315","Get all booking id list","","2026-09-03","passed","2026-09-03","","Get booking id list","features.GetBookingIdListTest","getAllBookingIdList"
"PUT call to update a booking in the database","513","Put update booking","","2026-09-03","passed","2026-09-03","","Put update booking","features.PutUpdateBooking","putUpdateBooking"
"Status code validation for 403","203","Status code validation - 403","","2026-09-03","passed","2026-09-03","","Status code validation","features.StatusCodeValidationTest","statusCode403Validation"
"Status code validation for 404","185","Status code validation - 404","","2026-09-03","passed","2026-09-03","","Status code validation","features.StatusCodeValidationTest","statusCode404Validation"
"POST call to create a new booking in the database","599","Post create booking","","2026-09-03","passed","2026-09-03","","Post create booking","features.PostCreateBookingTest","postCreateBooking"
