"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Status code validation for 404","114","Status code validation - 404","","Thu Apr 02 09:34:57 UTC 2026","passed","Thu Apr 02 09:34:57 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode404Validation"
"Status code validation for 201","112","Status code validation - 201","","Thu Apr 02 09:34:57 UTC 2026","passed","Thu Apr 02 09:34:57 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode201Validation"
"GET health check to confirm whether the API is up and running","152","Health check","","Thu Apr 02 09:34:54 UTC 2026","passed","Thu Apr 02 09:34:54 UTC 2026","","Health check","features.GetHealthCheck","getHealthCheck"
"Status code validation for 200","200","Status code validation - 200","","Thu Apr 02 09:34:57 UTC 2026","passed","Thu Apr 02 09:34:57 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode200Validation"
"PUT call to update a booking in the database","445","Put update booking","","Thu Apr 02 09:34:56 UTC 2026","passed","Thu Apr 02 09:34:56 UTC 2026","","Put update booking","features.PutUpdateBooking","putUpdateBooking"
"GET call to retrieve a booking by id","260","Get booking by id","","Thu Apr 02 09:34:53 UTC 2026","passed","Thu Apr 02 09:34:53 UTC 2026","","Get booking by id","features.GetBookingByIdTest","getBookingById"
"POST call to create a new booking in the database","549","Post create booking","","Thu Apr 02 09:34:55 UTC 2026","passed","Thu Apr 02 09:34:55 UTC 2026","","Post create booking","features.PostCreateBookingTest","postCreateBooking"
"Different calls validations to change the status of a booking form created to deleted","1613","Workflow","","Thu Apr 02 09:34:57 UTC 2026","passed","Thu Apr 02 09:34:59 UTC 2026","","Workflow validation","features.WorkFlowTest","workflow"
"GET call to retrieve all bookings id list","395","Get all booking id list","","Thu Apr 02 09:34:53 UTC 2026","passed","Thu Apr 02 09:34:54 UTC 2026","","Get booking id list","features.GetBookingIdListTest","getAllBookingIdList"
"Status code validation for 400","122","Status code validation - 400","","Thu Apr 02 09:34:57 UTC 2026","passed","Thu Apr 02 09:34:57 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode400Validation"
"PATCH call to partially update a booking in the database","455","Patch partial update booking","","Thu Apr 02 09:34:54 UTC 2026","passed","Thu Apr 02 09:34:55 UTC 2026","","Patch partial update booking","features.PatchPartialUpdateBooking","patchPartialUpdateBooking"
"DELETE call to erase a booking in the database","1997","Delete booking","","Thu Apr 02 09:34:51 UTC 2026","passed","Thu Apr 02 09:34:53 UTC 2026","","Delete booking","features.DeleteBooking","deleteBooking"
"Status code validation for 500","124","Status code validation - 500","","Thu Apr 02 09:34:57 UTC 2026","passed","Thu Apr 02 09:34:57 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode500Validation"
"Status code validation for 405","116","Status code validation - 405","","Thu Apr 02 09:34:56 UTC 2026","passed","Thu Apr 02 09:34:57 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode405Validation"
"Status code validation for 403","114","Status code validation - 403","","Thu Apr 02 09:34:57 UTC 2026","passed","Thu Apr 02 09:34:57 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode403Validation"
