"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"DELETE call to erase a booking in the database","2539","Delete booking","","2026-06-08","passed","2026-06-08","","Delete booking","features.DeleteBooking","deleteBooking"
"GET call to retrieve a booking by id","473","Get booking by id","","2026-06-08","passed","2026-06-08","","Get booking by id","features.GetBookingByIdTest","getBookingById"
"PATCH call to partially update a booking in the database","928","Patch partial update booking","","2026-06-08","passed","2026-06-08","","Patch partial update booking","features.PatchPartialUpdateBooking","patchPartialUpdateBooking"
"PUT call to update a booking in the database","913","Put update booking","","2026-06-08","passed","2026-06-08","","Put update booking","features.PutUpdateBooking","putUpdateBooking"
"Status code validation for 403","356","Status code validation - 403","","2026-06-08","passed","2026-06-08","","Status code validation","features.StatusCodeValidationTest","statusCode403Validation"
"GET health check to confirm whether the API is up and running","403","Health check","","2026-06-08","passed","2026-06-08","","Health check","features.GetHealthCheck","getHealthCheck"
"Status code validation for 400","363","Status code validation - 400","","2026-06-08","passed","2026-06-08","","Status code validation","features.StatusCodeValidationTest","statusCode400Validation"
"Status code validation for 404","377","Status code validation - 404","","2026-06-08","passed","2026-06-08","","Status code validation","features.StatusCodeValidationTest","statusCode404Validation"
"Status code validation for 500","393","Status code validation - 500","","2026-06-08","passed","2026-06-08","","Status code validation","features.StatusCodeValidationTest","statusCode500Validation"
"Status code validation for 201","362","Status code validation - 201","","2026-06-08","passed","2026-06-08","","Status code validation","features.StatusCodeValidationTest","statusCode201Validation"
"Status code validation for 200","513","Status code validation - 200","","2026-06-08","passed","2026-06-08","","Status code validation","features.StatusCodeValidationTest","statusCode200Validation"
"Status code validation for 405","365","Status code validation - 405","","2026-06-08","passed","2026-06-08","","Status code validation","features.StatusCodeValidationTest","statusCode405Validation"
"Different calls validations to change the status of a booking form created to deleted","3868","Workflow","","2026-06-08","passed","2026-06-08","","Workflow validation","features.WorkFlowTest","workflow"
"POST call to create a new booking in the database","1030","Post create booking","","2026-06-08","passed","2026-06-08","","Post create booking","features.PostCreateBookingTest","postCreateBooking"
"GET call to retrieve all bookings id list","685","Get all booking id list","","2026-06-08","passed","2026-06-08","","Get booking id list","features.GetBookingIdListTest","getAllBookingIdList"
