"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Status code validation for 400","382","Status code validation - 400","","2026-08-17","passed","2026-08-17","","Status code validation","features.StatusCodeValidationTest","statusCode400Validation"
"Status code validation for 404","358","Status code validation - 404","","2026-08-17","passed","2026-08-17","","Status code validation","features.StatusCodeValidationTest","statusCode404Validation"
"Different calls validations to change the status of a booking form created to deleted","3791","Workflow","","2026-08-17","passed","2026-08-17","","Workflow validation","features.WorkFlowTest","workflow"
"Status code validation for 500","376","Status code validation - 500","","2026-08-17","passed","2026-08-17","","Status code validation","features.StatusCodeValidationTest","statusCode500Validation"
"Status code validation for 200","451","Status code validation - 200","","2026-08-17","passed","2026-08-17","","Status code validation","features.StatusCodeValidationTest","statusCode200Validation"
"Status code validation for 201","370","Status code validation - 201","","2026-08-17","passed","2026-08-17","","Status code validation","features.StatusCodeValidationTest","statusCode201Validation"
"POST call to create a new booking in the database","988","Post create booking","","2026-08-17","passed","2026-08-17","","Post create booking","features.PostCreateBookingTest","postCreateBooking"
"Status code validation for 405","386","Status code validation - 405","","2026-08-17","passed","2026-08-17","","Status code validation","features.StatusCodeValidationTest","statusCode405Validation"
"GET health check to confirm whether the API is up and running","364","Health check","","2026-08-17","passed","2026-08-17","","Health check","features.GetHealthCheck","getHealthCheck"
"PATCH call to partially update a booking in the database","923","Patch partial update booking","","2026-08-17","passed","2026-08-17","","Patch partial update booking","features.PatchPartialUpdateBooking","patchPartialUpdateBooking"
"PUT call to update a booking in the database","941","Put update booking","","2026-08-17","passed","2026-08-17","","Put update booking","features.PutUpdateBooking","putUpdateBooking"
"DELETE call to erase a booking in the database","2572","Delete booking","","2026-08-17","passed","2026-08-17","","Delete booking","features.DeleteBooking","deleteBooking"
"Status code validation for 403","378","Status code validation - 403","","2026-08-17","passed","2026-08-17","","Status code validation","features.StatusCodeValidationTest","statusCode403Validation"
"GET call to retrieve all bookings id list","506","Get all booking id list","","2026-08-17","passed","2026-08-17","","Get booking id list","features.GetBookingIdListTest","getAllBookingIdList"
"GET call to retrieve a booking by id","493","Get booking by id","","2026-08-17","passed","2026-08-17","","Get booking by id","features.GetBookingByIdTest","getBookingById"
