"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Status code validation for 405","61","Status code validation - 405","","2026-07-06","passed","2026-07-06","","Status code validation","features.StatusCodeValidationTest","statusCode405Validation"
"POST call to create a new booking in the database","418","Post create booking","","2026-07-06","passed","2026-07-06","","Post create booking","features.PostCreateBookingTest","postCreateBooking"
"Status code validation for 201","62","Status code validation - 201","","2026-07-06","passed","2026-07-06","","Status code validation","features.StatusCodeValidationTest","statusCode201Validation"
"Different calls validations to change the status of a booking form created to deleted","999","Workflow","","2026-07-06","passed","2026-07-06","","Workflow validation","features.WorkFlowTest","workflow"
"Status code validation for 403","58","Status code validation - 403","","2026-07-06","passed","2026-07-06","","Status code validation","features.StatusCodeValidationTest","statusCode403Validation"
"GET health check to confirm whether the API is up and running","65","Health check","","2026-07-06","passed","2026-07-06","","Health check","features.GetHealthCheck","getHealthCheck"
"DELETE call to erase a booking in the database","1772","Delete booking","","2026-07-06","passed","2026-07-06","","Delete booking","features.DeleteBooking","deleteBooking"
"Status code validation for 500","61","Status code validation - 500","","2026-07-06","passed","2026-07-06","","Status code validation","features.StatusCodeValidationTest","statusCode500Validation"
"Status code validation for 404","55","Status code validation - 404","","2026-07-06","passed","2026-07-06","","Status code validation","features.StatusCodeValidationTest","statusCode404Validation"
"Status code validation for 400","79","Status code validation - 400","","2026-07-06","passed","2026-07-06","","Status code validation","features.StatusCodeValidationTest","statusCode400Validation"
"GET call to retrieve a booking by id","158","Get booking by id","","2026-07-06","passed","2026-07-06","","Get booking by id","features.GetBookingByIdTest","getBookingById"
"Status code validation for 200","91","Status code validation - 200","","2026-07-06","passed","2026-07-06","","Status code validation","features.StatusCodeValidationTest","statusCode200Validation"
"PUT call to update a booking in the database","286","Put update booking","","2026-07-06","passed","2026-07-06","","Put update booking","features.PutUpdateBooking","putUpdateBooking"
"PATCH call to partially update a booking in the database","291","Patch partial update booking","","2026-07-06","passed","2026-07-06","","Patch partial update booking","features.PatchPartialUpdateBooking","patchPartialUpdateBooking"
"GET call to retrieve all bookings id list","189","Get all booking id list","","2026-07-06","passed","2026-07-06","","Get booking id list","features.GetBookingIdListTest","getAllBookingIdList"
