"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"PATCH call to partially update a booking in the database","297","Patch partial update booking","","2026-07-23","passed","2026-07-23","","Patch partial update booking","features.PatchPartialUpdateBooking","patchPartialUpdateBooking"
"DELETE call to erase a booking in the database","1794","Delete booking","","2026-07-23","passed","2026-07-23","","Delete booking","features.DeleteBooking","deleteBooking"
"GET call to retrieve a booking by id","166","Get booking by id","","2026-07-23","passed","2026-07-23","","Get booking by id","features.GetBookingByIdTest","getBookingById"
"Status code validation for 500","69","Status code validation - 500","","2026-07-23","passed","2026-07-23","","Status code validation","features.StatusCodeValidationTest","statusCode500Validation"
"Status code validation for 403","54","Status code validation - 403","","2026-07-23","passed","2026-07-23","","Status code validation","features.StatusCodeValidationTest","statusCode403Validation"
"GET call to retrieve all bookings id list","197","Get all booking id list","","2026-07-23","passed","2026-07-23","","Get booking id list","features.GetBookingIdListTest","getAllBookingIdList"
"PUT call to update a booking in the database","312","Put update booking","","2026-07-23","passed","2026-07-23","","Put update booking","features.PutUpdateBooking","putUpdateBooking"
"Status code validation for 201","73","Status code validation - 201","","2026-07-23","passed","2026-07-23","","Status code validation","features.StatusCodeValidationTest","statusCode201Validation"
"Status code validation for 405","71","Status code validation - 405","","2026-07-23","passed","2026-07-23","","Status code validation","features.StatusCodeValidationTest","statusCode405Validation"
"Status code validation for 400","64","Status code validation - 400","","2026-07-23","passed","2026-07-23","","Status code validation","features.StatusCodeValidationTest","statusCode400Validation"
"GET health check to confirm whether the API is up and running","71","Health check","","2026-07-23","passed","2026-07-23","","Health check","features.GetHealthCheck","getHealthCheck"
"POST call to create a new booking in the database","399","Post create booking","","2026-07-23","passed","2026-07-23","","Post create booking","features.PostCreateBookingTest","postCreateBooking"
"Status code validation for 404","61","Status code validation - 404","","2026-07-23","passed","2026-07-23","","Status code validation","features.StatusCodeValidationTest","statusCode404Validation"
"Status code validation for 200","98","Status code validation - 200","","2026-07-23","passed","2026-07-23","","Status code validation","features.StatusCodeValidationTest","statusCode200Validation"
"Different calls validations to change the status of a booking form created to deleted","969","Workflow","","2026-07-23","passed","2026-07-23","","Workflow validation","features.WorkFlowTest","workflow"
