"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"GET call to retrieve a booking by id","166","Get booking by id","","Mon Mar 09 09:30:42 UTC 2026","passed","Mon Mar 09 09:30:42 UTC 2026","","Get booking by id","features.GetBookingByIdTest","getBookingById"
"POST call to create a new booking in the database","344","Post create booking","","Mon Mar 09 09:30:42 UTC 2026","passed","Mon Mar 09 09:30:43 UTC 2026","","Post create booking","features.PostCreateBookingTest","postCreateBooking"
"Status code validation for 405","43","Status code validation - 405","","Mon Mar 09 09:30:43 UTC 2026","passed","Mon Mar 09 09:30:43 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode405Validation"
"PUT call to update a booking in the database","241","Put update booking","","Mon Mar 09 09:30:43 UTC 2026","passed","Mon Mar 09 09:30:43 UTC 2026","","Put update booking","features.PutUpdateBooking","putUpdateBooking"
"Status code validation for 404","45","Status code validation - 404","","Mon Mar 09 09:30:43 UTC 2026","passed","Mon Mar 09 09:30:43 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode404Validation"
"Status code validation for 500","55","Status code validation - 500","","Mon Mar 09 09:30:43 UTC 2026","passed","Mon Mar 09 09:30:43 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode500Validation"
"Status code validation for 201","47","Status code validation - 201","","Mon Mar 09 09:30:43 UTC 2026","passed","Mon Mar 09 09:30:43 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode201Validation"
"PATCH call to partially update a booking in the database","264","Patch partial update booking","","Mon Mar 09 09:30:42 UTC 2026","passed","Mon Mar 09 09:30:42 UTC 2026","","Patch partial update booking","features.PatchPartialUpdateBooking","patchPartialUpdateBooking"
"Status code validation for 400","49","Status code validation - 400","","Mon Mar 09 09:30:43 UTC 2026","passed","Mon Mar 09 09:30:43 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode400Validation"
"Different calls validations to change the status of a booking form created to deleted","868","Workflow","","Mon Mar 09 09:30:43 UTC 2026","passed","Mon Mar 09 09:30:44 UTC 2026","","Workflow validation","features.WorkFlowTest","workflow"
"GET health check to confirm whether the API is up and running","52","Health check","","Mon Mar 09 09:30:42 UTC 2026","passed","Mon Mar 09 09:30:42 UTC 2026","","Health check","features.GetHealthCheck","getHealthCheck"
"Status code validation for 200","47","Status code validation - 200","","Mon Mar 09 09:30:43 UTC 2026","passed","Mon Mar 09 09:30:43 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode200Validation"
"GET call to retrieve all bookings id list","72","Get all booking id list","","Mon Mar 09 09:30:42 UTC 2026","passed","Mon Mar 09 09:30:42 UTC 2026","","Get booking id list","features.GetBookingIdListTest","getAllBookingIdList"
"DELETE call to erase a booking in the database","1680","Delete booking","","Mon Mar 09 09:30:40 UTC 2026","passed","Mon Mar 09 09:30:41 UTC 2026","","Delete booking","features.DeleteBooking","deleteBooking"
"Status code validation for 403","44","Status code validation - 403","","Mon Mar 09 09:30:43 UTC 2026","passed","Mon Mar 09 09:30:43 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode403Validation"
