"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 24 09:16:53 GMT 2025","Thu Apr 24 09:16:55 GMT 2025","2251","","Workflow validation","","features.WorkFlowTest","workflow","Workflow","Different calls validations to change the status of a booking form created to deleted"
"passed","Thu Apr 24 09:16:49 GMT 2025","Thu Apr 24 09:16:49 GMT 2025","642","","Post create booking","","features.PostCreateBookingTest","postCreateBooking","Post create booking","POST call to create a new booking in the database"
"passed","Thu Apr 24 09:16:48 GMT 2025","Thu Apr 24 09:16:48 GMT 2025","228","","Health check","","features.GetHealthCheck","getHealthCheck","Health check","GET health check to confirm whether the API is up and running"
"passed","Thu Apr 24 09:16:47 GMT 2025","Thu Apr 24 09:16:47 GMT 2025","316","","Get booking by id","","features.GetBookingByIdTest","getBookingById","Get booking by id","GET call to retrieve a booking by id"
"passed","Thu Apr 24 09:16:52 GMT 2025","Thu Apr 24 09:16:53 GMT 2025","218","","Status code validation","","features.StatusCodeValidationTest","statusCode201Validation","Status code validation - 201","Status code validation for 201"
"passed","Thu Apr 24 09:16:51 GMT 2025","Thu Apr 24 09:16:51 GMT 2025","228","","Status code validation","","features.StatusCodeValidationTest","statusCode405Validation","Status code validation - 405","Status code validation for 405"
"passed","Thu Apr 24 09:16:47 GMT 2025","Thu Apr 24 09:16:47 GMT 2025","359","","Get booking id list","","features.GetBookingIdListTest","getAllBookingIdList","Get all booking id list","GET call to retrieve all bookings id list"
"passed","Thu Apr 24 09:16:50 GMT 2025","Thu Apr 24 09:16:50 GMT 2025","652","","Put update booking","","features.PutUpdateBooking","putUpdateBooking","Put update booking","PUT call to update a booking in the database"
"passed","Thu Apr 24 09:16:52 GMT 2025","Thu Apr 24 09:16:52 GMT 2025","197","","Status code validation","","features.StatusCodeValidationTest","statusCode404Validation","Status code validation - 404","Status code validation for 404"
"passed","Thu Apr 24 09:16:44 GMT 2025","Thu Apr 24 09:16:46 GMT 2025","2218","","Delete booking","","features.DeleteBooking","deleteBooking","Delete booking","DELETE call to erase a booking in the database"
"passed","Thu Apr 24 09:16:51 GMT 2025","Thu Apr 24 09:16:52 GMT 2025","220","","Status code validation","","features.StatusCodeValidationTest","statusCode500Validation","Status code validation - 500","Status code validation for 500"
"passed","Thu Apr 24 09:16:52 GMT 2025","Thu Apr 24 09:16:52 GMT 2025","225","","Status code validation","","features.StatusCodeValidationTest","statusCode400Validation","Status code validation - 400","Status code validation for 400"
"passed","Thu Apr 24 09:16:52 GMT 2025","Thu Apr 24 09:16:52 GMT 2025","252","","Status code validation","","features.StatusCodeValidationTest","statusCode200Validation","Status code validation - 200","Status code validation for 200"
"passed","Thu Apr 24 09:16:53 GMT 2025","Thu Apr 24 09:16:53 GMT 2025","224","","Status code validation","","features.StatusCodeValidationTest","statusCode403Validation","Status code validation - 403","Status code validation for 403"
"passed","Thu Apr 24 09:16:48 GMT 2025","Thu Apr 24 09:16:49 GMT 2025","564","","Patch partial update booking","","features.PatchPartialUpdateBooking","patchPartialUpdateBooking","Patch partial update booking","PATCH call to partially update a booking in the database"
