"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"PATCH call to partially update a booking in the database","326","Patch partial update booking","","Thu May 28 10:36:38 UTC 2026","passed","Thu May 28 10:36:39 UTC 2026","","Patch partial update booking","features.PatchPartialUpdateBooking","patchPartialUpdateBooking"
"GET call to retrieve a booking by id","172","Get booking by id","","Thu May 28 10:36:38 UTC 2026","passed","Thu May 28 10:36:38 UTC 2026","","Get booking by id","features.GetBookingByIdTest","getBookingById"
"Status code validation for 405","61","Status code validation - 405","","Thu May 28 10:36:40 UTC 2026","passed","Thu May 28 10:36:40 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode405Validation"
"Status code validation for 403","60","Status code validation - 403","","Thu May 28 10:36:40 UTC 2026","passed","Thu May 28 10:36:40 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode403Validation"
"Status code validation for 500","67","Status code validation - 500","","Thu May 28 10:36:40 UTC 2026","passed","Thu May 28 10:36:40 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode500Validation"
"Status code validation for 201","65","Status code validation - 201","","Thu May 28 10:36:40 UTC 2026","passed","Thu May 28 10:36:40 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode201Validation"
"GET call to retrieve all bookings id list","158","Get all booking id list","","Thu May 28 10:36:38 UTC 2026","passed","Thu May 28 10:36:38 UTC 2026","","Get booking id list","features.GetBookingIdListTest","getAllBookingIdList"
"Status code validation for 404","59","Status code validation - 404","","Thu May 28 10:36:40 UTC 2026","passed","Thu May 28 10:36:40 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode404Validation"
"POST call to create a new booking in the database","428","Post create booking","","Thu May 28 10:36:39 UTC 2026","passed","Thu May 28 10:36:39 UTC 2026","","Post create booking","features.PostCreateBookingTest","postCreateBooking"
"Different calls validations to change the status of a booking form created to deleted","1009","Workflow","","Thu May 28 10:36:40 UTC 2026","passed","Thu May 28 10:36:41 UTC 2026","","Workflow validation","features.WorkFlowTest","workflow"
"Status code validation for 200","86","Status code validation - 200","","Thu May 28 10:36:40 UTC 2026","passed","Thu May 28 10:36:40 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode200Validation"
"GET health check to confirm whether the API is up and running","67","Health check","","Thu May 28 10:36:38 UTC 2026","passed","Thu May 28 10:36:38 UTC 2026","","Health check","features.GetHealthCheck","getHealthCheck"
"Status code validation for 400","68","Status code validation - 400","","Thu May 28 10:36:40 UTC 2026","passed","Thu May 28 10:36:40 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode400Validation"
"PUT call to update a booking in the database","301","Put update booking","","Thu May 28 10:36:39 UTC 2026","passed","Thu May 28 10:36:40 UTC 2026","","Put update booking","features.PutUpdateBooking","putUpdateBooking"
"DELETE call to erase a booking in the database","1871","Delete booking","","Thu May 28 10:36:36 UTC 2026","passed","Thu May 28 10:36:37 UTC 2026","","Delete booking","features.DeleteBooking","deleteBooking"
