"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"DELETE call to erase a booking in the database","1875","Delete booking","","2026-07-02","passed","2026-07-02","","Delete booking","features.DeleteBooking","deleteBooking"
"Status code validation for 200","164","Status code validation - 200","","2026-07-02","passed","2026-07-02","","Status code validation","features.StatusCodeValidationTest","statusCode200Validation"
"Status code validation for 201","130","Status code validation - 201","","2026-07-02","passed","2026-07-02","","Status code validation","features.StatusCodeValidationTest","statusCode201Validation"
"PATCH call to partially update a booking in the database","431","Patch partial update booking","","2026-07-02","passed","2026-07-02","","Patch partial update booking","features.PatchPartialUpdateBooking","patchPartialUpdateBooking"
"Status code validation for 403","129","Status code validation - 403","","2026-07-02","passed","2026-07-02","","Status code validation","features.StatusCodeValidationTest","statusCode403Validation"
"Status code validation for 400","130","Status code validation - 400","","2026-07-02","passed","2026-07-02","","Status code validation","features.StatusCodeValidationTest","statusCode400Validation"
"GET call to retrieve a booking by id","240","Get booking by id","","2026-07-02","passed","2026-07-02","","Get booking by id","features.GetBookingByIdTest","getBookingById"
"PUT call to update a booking in the database","491","Put update booking","","2026-07-02","passed","2026-07-02","","Put update booking","features.PutUpdateBooking","putUpdateBooking"
"GET health check to confirm whether the API is up and running","137","Health check","","2026-07-02","passed","2026-07-02","","Health check","features.GetHealthCheck","getHealthCheck"
"POST call to create a new booking in the database","501","Post create booking","","2026-07-02","passed","2026-07-02","","Post create booking","features.PostCreateBookingTest","postCreateBooking"
"Status code validation for 404","127","Status code validation - 404","","2026-07-02","passed","2026-07-02","","Status code validation","features.StatusCodeValidationTest","statusCode404Validation"
"GET call to retrieve all bookings id list","231","Get all booking id list","","2026-07-02","passed","2026-07-02","","Get booking id list","features.GetBookingIdListTest","getAllBookingIdList"
"Status code validation for 405","133","Status code validation - 405","","2026-07-02","passed","2026-07-02","","Status code validation","features.StatusCodeValidationTest","statusCode405Validation"
"Different calls validations to change the status of a booking form created to deleted","1520","Workflow","","2026-07-02","passed","2026-07-02","","Workflow validation","features.WorkFlowTest","workflow"
"Status code validation for 500","140","Status code validation - 500","","2026-07-02","passed","2026-07-02","","Status code validation","features.StatusCodeValidationTest","statusCode500Validation"
