"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"GET health check to confirm whether the API is up and running","205","Health check","","2026-08-24","passed","2026-08-24","","Health check","features.GetHealthCheck","getHealthCheck"
"Status code validation for 405","159","Status code validation - 405","","2026-08-24","passed","2026-08-24","","Status code validation","features.StatusCodeValidationTest","statusCode405Validation"
"Status code validation for 400","184","Status code validation - 400","","2026-08-24","passed","2026-08-24","","Status code validation","features.StatusCodeValidationTest","statusCode400Validation"
"GET call to retrieve a booking by id","253","Get booking by id","","2026-08-24","passed","2026-08-24","","Get booking by id","features.GetBookingByIdTest","getBookingById"
"Status code validation for 500","199","Status code validation - 500","","2026-08-24","passed","2026-08-24","","Status code validation","features.StatusCodeValidationTest","statusCode500Validation"
"PATCH call to partially update a booking in the database","487","Patch partial update booking","","2026-08-24","passed","2026-08-24","","Patch partial update booking","features.PatchPartialUpdateBooking","patchPartialUpdateBooking"
"DELETE call to erase a booking in the database","1676","Delete booking","","2026-08-24","passed","2026-08-24","","Delete booking","features.DeleteBooking","deleteBooking"
"PUT call to update a booking in the database","468","Put update booking","","2026-08-24","passed","2026-08-24","","Put update booking","features.PutUpdateBooking","putUpdateBooking"
"Different calls validations to change the status of a booking form created to deleted","2003","Workflow","","2026-08-24","passed","2026-08-24","","Workflow validation","features.WorkFlowTest","workflow"
"Status code validation for 404","192","Status code validation - 404","","2026-08-24","passed","2026-08-24","","Status code validation","features.StatusCodeValidationTest","statusCode404Validation"
"Status code validation for 201","168","Status code validation - 201","","2026-08-24","passed","2026-08-24","","Status code validation","features.StatusCodeValidationTest","statusCode201Validation"
"POST call to create a new booking in the database","564","Post create booking","","2026-08-24","passed","2026-08-24","","Post create booking","features.PostCreateBookingTest","postCreateBooking"
"Status code validation for 403","187","Status code validation - 403","","2026-08-24","passed","2026-08-24","","Status code validation","features.StatusCodeValidationTest","statusCode403Validation"
"Status code validation for 200","318","Status code validation - 200","","2026-08-24","passed","2026-08-24","","Status code validation","features.StatusCodeValidationTest","statusCode200Validation"
"GET call to retrieve all bookings id list","314","Get all booking id list","","2026-08-24","passed","2026-08-24","","Get booking id list","features.GetBookingIdListTest","getAllBookingIdList"
