"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Status code validation for 405","149","Status code validation - 405","","Thu Apr 23 09:48:27 UTC 2026","passed","Thu Apr 23 09:48:27 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode405Validation"
"Status code validation for 200","238","Status code validation - 200","","Thu Apr 23 09:48:28 UTC 2026","passed","Thu Apr 23 09:48:28 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode200Validation"
"POST call to create a new booking in the database","648","Post create booking","","Thu Apr 23 09:48:25 UTC 2026","passed","Thu Apr 23 09:48:26 UTC 2026","","Post create booking","features.PostCreateBookingTest","postCreateBooking"
"Status code validation for 404","210","Status code validation - 404","","Thu Apr 23 09:48:28 UTC 2026","passed","Thu Apr 23 09:48:28 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode404Validation"
"GET call to retrieve all bookings id list","422","Get all booking id list","","Thu Apr 23 09:48:23 UTC 2026","passed","Thu Apr 23 09:48:24 UTC 2026","","Get booking id list","features.GetBookingIdListTest","getAllBookingIdList"
"PATCH call to partially update a booking in the database","555","Patch partial update booking","","Thu Apr 23 09:48:24 UTC 2026","passed","Thu Apr 23 09:48:25 UTC 2026","","Patch partial update booking","features.PatchPartialUpdateBooking","patchPartialUpdateBooking"
"GET call to retrieve a booking by id","336","Get booking by id","","Thu Apr 23 09:48:23 UTC 2026","passed","Thu Apr 23 09:48:23 UTC 2026","","Get booking by id","features.GetBookingByIdTest","getBookingById"
"Status code validation for 400","187","Status code validation - 400","","Thu Apr 23 09:48:28 UTC 2026","passed","Thu Apr 23 09:48:28 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode400Validation"
"Status code validation for 500","173","Status code validation - 500","","Thu Apr 23 09:48:27 UTC 2026","passed","Thu Apr 23 09:48:28 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode500Validation"
"Different calls validations to change the status of a booking form created to deleted","2337","Workflow","","Thu Apr 23 09:48:29 UTC 2026","passed","Thu Apr 23 09:48:31 UTC 2026","","Workflow validation","features.WorkFlowTest","workflow"
"PUT call to update a booking in the database","626","Put update booking","","Thu Apr 23 09:48:26 UTC 2026","passed","Thu Apr 23 09:48:27 UTC 2026","","Put update booking","features.PutUpdateBooking","putUpdateBooking"
"Status code validation for 403","209","Status code validation - 403","","Thu Apr 23 09:48:28 UTC 2026","passed","Thu Apr 23 09:48:29 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode403Validation"
"DELETE call to erase a booking in the database","2276","Delete booking","","Thu Apr 23 09:48:20 UTC 2026","passed","Thu Apr 23 09:48:23 UTC 2026","","Delete booking","features.DeleteBooking","deleteBooking"
"Status code validation for 201","234","Status code validation - 201","","Thu Apr 23 09:48:28 UTC 2026","passed","Thu Apr 23 09:48:28 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode201Validation"
"GET health check to confirm whether the API is up and running","238","Health check","","Thu Apr 23 09:48:24 UTC 2026","passed","Thu Apr 23 09:48:24 UTC 2026","","Health check","features.GetHealthCheck","getHealthCheck"
