"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"GET health check to confirm whether the API is up and running","55","Health check","","2026-08-06","passed","2026-08-06","","Health check","features.GetHealthCheck","getHealthCheck"
"Status code validation for 201","50","Status code validation - 201","","2026-08-06","passed","2026-08-06","","Status code validation","features.StatusCodeValidationTest","statusCode201Validation"
"POST call to create a new booking in the database","447","Post create booking","","2026-08-06","passed","2026-08-06","","Post create booking","features.PostCreateBookingTest","postCreateBooking"
"Status code validation for 200","45","Status code validation - 200","","2026-08-06","passed","2026-08-06","","Status code validation","features.StatusCodeValidationTest","statusCode200Validation"
"DELETE call to erase a booking in the database","2047","Delete booking","","2026-08-06","passed","2026-08-06","","Delete booking","features.DeleteBooking","deleteBooking"
"Different calls validations to change the status of a booking form created to deleted","1050","Workflow","","2026-08-06","passed","2026-08-06","","Workflow validation","features.WorkFlowTest","workflow"
"PATCH call to partially update a booking in the database","324","Patch partial update booking","","2026-08-06","passed","2026-08-06","","Patch partial update booking","features.PatchPartialUpdateBooking","patchPartialUpdateBooking"
"PUT call to update a booking in the database","345","Put update booking","","2026-08-06","passed","2026-08-06","","Put update booking","features.PutUpdateBooking","putUpdateBooking"
"GET call to retrieve a booking by id","173","Get booking by id","","2026-08-06","passed","2026-08-06","","Get booking by id","features.GetBookingByIdTest","getBookingById"
"Status code validation for 405","49","Status code validation - 405","","2026-08-06","passed","2026-08-06","","Status code validation","features.StatusCodeValidationTest","statusCode405Validation"
"Status code validation for 403","48","Status code validation - 403","","2026-08-06","passed","2026-08-06","","Status code validation","features.StatusCodeValidationTest","statusCode403Validation"
"Status code validation for 400","53","Status code validation - 400","","2026-08-06","passed","2026-08-06","","Status code validation","features.StatusCodeValidationTest","statusCode400Validation"
"Status code validation for 404","46","Status code validation - 404","","2026-08-06","passed","2026-08-06","","Status code validation","features.StatusCodeValidationTest","statusCode404Validation"
"Status code validation for 500","57","Status code validation - 500","","2026-08-06","passed","2026-08-06","","Status code validation","features.StatusCodeValidationTest","statusCode500Validation"
"GET call to retrieve all bookings id list","70","Get all booking id list","","2026-08-06","passed","2026-08-06","","Get booking id list","features.GetBookingIdListTest","getAllBookingIdList"
