"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Status code validation for 201","386","Status code validation - 201","","2026-08-27","passed","2026-08-27","","Status code validation","features.StatusCodeValidationTest","statusCode201Validation"
"POST call to create a new booking in the database","1026","Post create booking","","2026-08-27","passed","2026-08-27","","Post create booking","features.PostCreateBookingTest","postCreateBooking"
"DELETE call to erase a booking in the database","2492","Delete booking","","2026-08-27","passed","2026-08-27","","Delete booking","features.DeleteBooking","deleteBooking"
"PATCH call to partially update a booking in the database","925","Patch partial update booking","","2026-08-27","passed","2026-08-27","","Patch partial update booking","features.PatchPartialUpdateBooking","patchPartialUpdateBooking"
"Status code validation for 405","384","Status code validation - 405","","2026-08-27","passed","2026-08-27","","Status code validation","features.StatusCodeValidationTest","statusCode405Validation"
"Status code validation for 403","375","Status code validation - 403","","2026-08-27","passed","2026-08-27","","Status code validation","features.StatusCodeValidationTest","statusCode403Validation"
"Different calls validations to change the status of a booking form created to deleted","3726","Workflow","","2026-08-27","passed","2026-08-27","","Workflow validation","features.WorkFlowTest","workflow"
"GET health check to confirm whether the API is up and running","393","Health check","","2026-08-27","passed","2026-08-27","","Health check","features.GetHealthCheck","getHealthCheck"
"Status code validation for 400","378","Status code validation - 400","","2026-08-27","passed","2026-08-27","","Status code validation","features.StatusCodeValidationTest","statusCode400Validation"
"PUT call to update a booking in the database","911","Put update booking","","2026-08-27","passed","2026-08-27","","Put update booking","features.PutUpdateBooking","putUpdateBooking"
"GET call to retrieve all bookings id list","1024","Get all booking id list","","2026-08-27","passed","2026-08-27","","Get booking id list","features.GetBookingIdListTest","getAllBookingIdList"
"Status code validation for 500","362","Status code validation - 500","","2026-08-27","passed","2026-08-27","","Status code validation","features.StatusCodeValidationTest","statusCode500Validation"
"Status code validation for 200","693","Status code validation - 200","","2026-08-27","passed","2026-08-27","","Status code validation","features.StatusCodeValidationTest","statusCode200Validation"
"GET call to retrieve a booking by id","464","Get booking by id","","2026-08-27","passed","2026-08-27","","Get booking by id","features.GetBookingByIdTest","getBookingById"
"Status code validation for 404","379","Status code validation - 404","","2026-08-27","passed","2026-08-27","","Status code validation","features.StatusCodeValidationTest","statusCode404Validation"
