"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Different calls validations to change the status of a booking form created to deleted","2135","Workflow","","Thu Mar 26 09:34:24 UTC 2026","passed","Thu Mar 26 09:34:26 UTC 2026","","Workflow validation","features.WorkFlowTest","workflow"
"Status code validation for 403","228","Status code validation - 403","","Thu Mar 26 09:34:24 UTC 2026","passed","Thu Mar 26 09:34:24 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode403Validation"
"PATCH call to partially update a booking in the database","609","Patch partial update booking","","Thu Mar 26 09:34:20 UTC 2026","passed","Thu Mar 26 09:34:20 UTC 2026","","Patch partial update booking","features.PatchPartialUpdateBooking","patchPartialUpdateBooking"
"GET call to retrieve a booking by id","271","Get booking by id","","Thu Mar 26 09:34:18 UTC 2026","passed","Thu Mar 26 09:34:19 UTC 2026","","Get booking by id","features.GetBookingByIdTest","getBookingById"
"DELETE call to erase a booking in the database","2260","Delete booking","","Thu Mar 26 09:34:16 UTC 2026","passed","Thu Mar 26 09:34:18 UTC 2026","","Delete booking","features.DeleteBooking","deleteBooking"
"PUT call to update a booking in the database","569","Put update booking","","Thu Mar 26 09:34:21 UTC 2026","passed","Thu Mar 26 09:34:22 UTC 2026","","Put update booking","features.PutUpdateBooking","putUpdateBooking"
"Status code validation for 201","154","Status code validation - 201","","Thu Mar 26 09:34:24 UTC 2026","passed","Thu Mar 26 09:34:24 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode201Validation"
"Status code validation for 500","216","Status code validation - 500","","Thu Mar 26 09:34:23 UTC 2026","passed","Thu Mar 26 09:34:23 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode500Validation"
"Status code validation for 405","202","Status code validation - 405","","Thu Mar 26 09:34:22 UTC 2026","passed","Thu Mar 26 09:34:23 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode405Validation"
"GET health check to confirm whether the API is up and running","212","Health check","","Thu Mar 26 09:34:19 UTC 2026","passed","Thu Mar 26 09:34:19 UTC 2026","","Health check","features.GetHealthCheck","getHealthCheck"
"Status code validation for 400","232","Status code validation - 400","","Thu Mar 26 09:34:23 UTC 2026","passed","Thu Mar 26 09:34:23 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode400Validation"
"Status code validation for 404","166","Status code validation - 404","","Thu Mar 26 09:34:23 UTC 2026","passed","Thu Mar 26 09:34:24 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode404Validation"
"POST call to create a new booking in the database","623","Post create booking","","Thu Mar 26 09:34:20 UTC 2026","passed","Thu Mar 26 09:34:21 UTC 2026","","Post create booking","features.PostCreateBookingTest","postCreateBooking"
"Status code validation for 200","240","Status code validation - 200","","Thu Mar 26 09:34:23 UTC 2026","passed","Thu Mar 26 09:34:23 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode200Validation"
"GET call to retrieve all bookings id list","320","Get all booking id list","","Thu Mar 26 09:34:19 UTC 2026","passed","Thu Mar 26 09:34:19 UTC 2026","","Get booking id list","features.GetBookingIdListTest","getAllBookingIdList"
