"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Status code validation for 403","343","Status code validation - 403","","Thu Apr 30 09:55:10 UTC 2026","passed","Thu Apr 30 09:55:10 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode403Validation"
"GET call to retrieve a booking by id","465","Get booking by id","","Thu Apr 30 09:55:01 UTC 2026","passed","Thu Apr 30 09:55:01 UTC 2026","","Get booking by id","features.GetBookingByIdTest","getBookingById"
"Different calls validations to change the status of a booking form created to deleted","3558","Workflow","","Thu Apr 30 09:55:10 UTC 2026","passed","Thu Apr 30 09:55:14 UTC 2026","","Workflow validation","features.WorkFlowTest","workflow"
"Status code validation for 500","369","Status code validation - 500","","Thu Apr 30 09:55:08 UTC 2026","passed","Thu Apr 30 09:55:08 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode500Validation"
"Status code validation for 200","457","Status code validation - 200","","Thu Apr 30 09:55:09 UTC 2026","passed","Thu Apr 30 09:55:09 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode200Validation"
"PUT call to update a booking in the database","893","Put update booking","","Thu Apr 30 09:55:05 UTC 2026","passed","Thu Apr 30 09:55:06 UTC 2026","","Put update booking","features.PutUpdateBooking","putUpdateBooking"
"Status code validation for 201","357","Status code validation - 201","","Thu Apr 30 09:55:09 UTC 2026","passed","Thu Apr 30 09:55:10 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode201Validation"
"Status code validation for 400","385","Status code validation - 400","","Thu Apr 30 09:55:08 UTC 2026","passed","Thu Apr 30 09:55:09 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode400Validation"
"GET call to retrieve all bookings id list","483","Get all booking id list","","Thu Apr 30 09:55:01 UTC 2026","passed","Thu Apr 30 09:55:02 UTC 2026","","Get booking id list","features.GetBookingIdListTest","getAllBookingIdList"
"POST call to create a new booking in the database","942","Post create booking","","Thu Apr 30 09:55:04 UTC 2026","passed","Thu Apr 30 09:55:05 UTC 2026","","Post create booking","features.PostCreateBookingTest","postCreateBooking"
"Status code validation for 404","374","Status code validation - 404","","Thu Apr 30 09:55:09 UTC 2026","passed","Thu Apr 30 09:55:09 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode404Validation"
"GET health check to confirm whether the API is up and running","396","Health check","","Thu Apr 30 09:55:02 UTC 2026","passed","Thu Apr 30 09:55:02 UTC 2026","","Health check","features.GetHealthCheck","getHealthCheck"
"DELETE call to erase a booking in the database","2133","Delete booking","","Thu Apr 30 09:54:58 UTC 2026","passed","Thu Apr 30 09:55:00 UTC 2026","","Delete booking","features.DeleteBooking","deleteBooking"
"Status code validation for 405","343","Status code validation - 405","","Thu Apr 30 09:55:07 UTC 2026","passed","Thu Apr 30 09:55:08 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode405Validation"
"PATCH call to partially update a booking in the database","866","Patch partial update booking","","Thu Apr 30 09:55:03 UTC 2026","passed","Thu Apr 30 09:55:04 UTC 2026","","Patch partial update booking","features.PatchPartialUpdateBooking","patchPartialUpdateBooking"
