"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 14 09:20:32 GMT 2025","Mon Jul 14 09:20:32 GMT 2025","186","","Status code validation","","features.StatusCodeValidationTest","statusCode500Validation","Status code validation - 500","Status code validation for 500"
"passed","Mon Jul 14 09:17:58 GMT 2025","Mon Jul 14 09:17:58 GMT 2025","279","","Get booking by id","","features.GetBookingByIdTest","getBookingById","Get booking by id","GET call to retrieve a booking by id"
"passed","Mon Jul 14 09:20:32 GMT 2025","Mon Jul 14 09:20:32 GMT 2025","276","","Status code validation","","features.StatusCodeValidationTest","statusCode200Validation","Status code validation - 200","Status code validation for 200"
"passed","Mon Jul 14 09:19:15 GMT 2025","Mon Jul 14 09:19:16 GMT 2025","506","","Put update booking","","features.PutUpdateBooking","putUpdateBooking","Put update booking","PUT call to update a booking in the database"
"passed","Mon Jul 14 09:20:32 GMT 2025","Mon Jul 14 09:20:37 GMT 2025","4192","","Status code validation","","features.StatusCodeValidationTest","statusCode404Validation","Status code validation - 404","Status code validation for 404"
"passed","Mon Jul 14 09:20:37 GMT 2025","Mon Jul 14 09:20:39 GMT 2025","2053","","Workflow validation","","features.WorkFlowTest","workflow","Workflow","Different calls validations to change the status of a booking form created to deleted"
"passed","Mon Jul 14 09:17:58 GMT 2025","Mon Jul 14 09:17:59 GMT 2025","491","","Get booking id list","","features.GetBookingIdListTest","getAllBookingIdList","Get all booking id list","GET call to retrieve all bookings id list"
"passed","Mon Jul 14 09:20:37 GMT 2025","Mon Jul 14 09:20:37 GMT 2025","187","","Status code validation","","features.StatusCodeValidationTest","statusCode201Validation","Status code validation - 201","Status code validation for 201"
"failed","Mon Jul 14 09:19:17 GMT 2025","Mon Jul 14 09:20:32 GMT 2025","75207","","Status code validation","","features.StatusCodeValidationTest","statusCode405Validation","Status code validation - 405","Status code validation for 405"
"passed","Mon Jul 14 09:20:37 GMT 2025","Mon Jul 14 09:20:37 GMT 2025","188","","Status code validation","","features.StatusCodeValidationTest","statusCode403Validation","Status code validation - 403","Status code validation for 403"
"passed","Mon Jul 14 09:19:14 GMT 2025","Mon Jul 14 09:19:15 GMT 2025","673","","Post create booking","","features.PostCreateBookingTest","postCreateBooking","Post create booking","POST call to create a new booking in the database"
"passed","Mon Jul 14 09:17:55 GMT 2025","Mon Jul 14 09:17:57 GMT 2025","2308","","Delete booking","","features.DeleteBooking","deleteBooking","Delete booking","DELETE call to erase a booking in the database"
"broken","Mon Jul 14 09:19:14 GMT 2025","Mon Jul 14 09:19:14 GMT 2025","0","","Patch partial update booking","","features.PatchPartialUpdateBooking","","Patch partial update booking",""
"passed","Mon Jul 14 09:20:32 GMT 2025","Mon Jul 14 09:20:32 GMT 2025","187","","Status code validation","","features.StatusCodeValidationTest","statusCode400Validation","Status code validation - 400","Status code validation for 400"
"passed","Mon Jul 14 09:17:59 GMT 2025","Mon Jul 14 09:17:59 GMT 2025","165","","Health check","","features.GetHealthCheck","getHealthCheck","Health check","GET health check to confirm whether the API is up and running"
