"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Status code validation for 200","511","Status code validation - 200","","2026-07-30","passed","2026-07-30","","Status code validation","features.StatusCodeValidationTest","statusCode200Validation"
"GET health check to confirm whether the API is up and running","375","Health check","","2026-07-30","passed","2026-07-30","","Health check","features.GetHealthCheck","getHealthCheck"
"Status code validation for 405","369","Status code validation - 405","","2026-07-30","passed","2026-07-30","","Status code validation","features.StatusCodeValidationTest","statusCode405Validation"
"DELETE call to erase a booking in the database","2536","Delete booking","","2026-07-30","passed","2026-07-30","","Delete booking","features.DeleteBooking","deleteBooking"
"Status code validation for 201","358","Status code validation - 201","","2026-07-30","passed","2026-07-30","","Status code validation","features.StatusCodeValidationTest","statusCode201Validation"
"PATCH call to partially update a booking in the database","931","Patch partial update booking","","2026-07-30","passed","2026-07-30","","Patch partial update booking","features.PatchPartialUpdateBooking","patchPartialUpdateBooking"
"Status code validation for 404","357","Status code validation - 404","","2026-07-30","passed","2026-07-30","","Status code validation","features.StatusCodeValidationTest","statusCode404Validation"
"PUT call to update a booking in the database","907","Put update booking","","2026-07-30","passed","2026-07-30","","Put update booking","features.PutUpdateBooking","putUpdateBooking"
"GET call to retrieve a booking by id","480","Get booking by id","","2026-07-30","passed","2026-07-30","","Get booking by id","features.GetBookingByIdTest","getBookingById"
"Different calls validations to change the status of a booking form created to deleted","3787","Workflow","","2026-07-30","passed","2026-07-30","","Workflow validation","features.WorkFlowTest","workflow"
"Status code validation for 500","368","Status code validation - 500","","2026-07-30","passed","2026-07-30","","Status code validation","features.StatusCodeValidationTest","statusCode500Validation"
"GET call to retrieve all bookings id list","639","Get all booking id list","","2026-07-30","passed","2026-07-30","","Get booking id list","features.GetBookingIdListTest","getAllBookingIdList"
"POST call to create a new booking in the database","1079","Post create booking","","2026-07-30","passed","2026-07-30","","Post create booking","features.PostCreateBookingTest","postCreateBooking"
"Status code validation for 403","354","Status code validation - 403","","2026-07-30","passed","2026-07-30","","Status code validation","features.StatusCodeValidationTest","statusCode403Validation"
"Status code validation for 400","362","Status code validation - 400","","2026-07-30","passed","2026-07-30","","Status code validation","features.StatusCodeValidationTest","statusCode400Validation"
