"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"PUT call to update a booking in the database","280","Put update booking","","2026-06-22","passed","2026-06-22","","Put update booking","features.PutUpdateBooking","putUpdateBooking"
"GET health check to confirm whether the API is up and running","54","Health check","","2026-06-22","passed","2026-06-22","","Health check","features.GetHealthCheck","getHealthCheck"
"Status code validation for 403","37","Status code validation - 403","","2026-06-22","passed","2026-06-22","","Status code validation","features.StatusCodeValidationTest","statusCode403Validation"
"Different calls validations to change the status of a booking form created to deleted","877","Workflow","","2026-06-22","passed","2026-06-22","","Workflow validation","features.WorkFlowTest","workflow"
"Status code validation for 405","57","Status code validation - 405","","2026-06-22","passed","2026-06-22","","Status code validation","features.StatusCodeValidationTest","statusCode405Validation"
"POST call to create a new booking in the database","374","Post create booking","","2026-06-22","passed","2026-06-22","","Post create booking","features.PostCreateBookingTest","postCreateBooking"
"Status code validation for 404","39","Status code validation - 404","","2026-06-22","passed","2026-06-22","","Status code validation","features.StatusCodeValidationTest","statusCode404Validation"
"DELETE call to erase a booking in the database","1856","Delete booking","","2026-06-22","passed","2026-06-22","","Delete booking","features.DeleteBooking","deleteBooking"
"GET call to retrieve a booking by id","171","Get booking by id","","2026-06-22","passed","2026-06-22","","Get booking by id","features.GetBookingByIdTest","getBookingById"
"Status code validation for 200","68","Status code validation - 200","","2026-06-22","passed","2026-06-22","","Status code validation","features.StatusCodeValidationTest","statusCode200Validation"
"Status code validation for 400","52","Status code validation - 400","","2026-06-22","passed","2026-06-22","","Status code validation","features.StatusCodeValidationTest","statusCode400Validation"
"GET call to retrieve all bookings id list","228","Get all booking id list","","2026-06-22","passed","2026-06-22","","Get booking id list","features.GetBookingIdListTest","getAllBookingIdList"
"PATCH call to partially update a booking in the database","275","Patch partial update booking","","2026-06-22","passed","2026-06-22","","Patch partial update booking","features.PatchPartialUpdateBooking","patchPartialUpdateBooking"
"Status code validation for 201","46","Status code validation - 201","","2026-06-22","passed","2026-06-22","","Status code validation","features.StatusCodeValidationTest","statusCode201Validation"
"Status code validation for 500","55","Status code validation - 500","","2026-06-22","passed","2026-06-22","","Status code validation","features.StatusCodeValidationTest","statusCode500Validation"
