"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Status code validation for 500","50","Status code validation - 500","","2026-06-29","passed","2026-06-29","","Status code validation","features.StatusCodeValidationTest","statusCode500Validation"
"GET call to retrieve a booking by id","186","Get booking by id","","2026-06-29","passed","2026-06-29","","Get booking by id","features.GetBookingByIdTest","getBookingById"
"Status code validation for 400","45","Status code validation - 400","","2026-06-29","passed","2026-06-29","","Status code validation","features.StatusCodeValidationTest","statusCode400Validation"
"Status code validation for 201","40","Status code validation - 201","","2026-06-29","passed","2026-06-29","","Status code validation","features.StatusCodeValidationTest","statusCode201Validation"
"Status code validation for 403","36","Status code validation - 403","","2026-06-29","passed","2026-06-29","","Status code validation","features.StatusCodeValidationTest","statusCode403Validation"
"Different calls validations to change the status of a booking form created to deleted","781","Workflow","","2026-06-29","passed","2026-06-29","","Workflow validation","features.WorkFlowTest","workflow"
"Status code validation for 200","83","Status code validation - 200","","2026-06-29","passed","2026-06-29","","Status code validation","features.StatusCodeValidationTest","statusCode200Validation"
"PATCH call to partially update a booking in the database","248","Patch partial update booking","","2026-06-29","passed","2026-06-29","","Patch partial update booking","features.PatchPartialUpdateBooking","patchPartialUpdateBooking"
"Status code validation for 404","34","Status code validation - 404","","2026-06-29","passed","2026-06-29","","Status code validation","features.StatusCodeValidationTest","statusCode404Validation"
"GET call to retrieve all bookings id list","276","Get all booking id list","","2026-06-29","passed","2026-06-29","","Get booking id list","features.GetBookingIdListTest","getAllBookingIdList"
"GET health check to confirm whether the API is up and running","57","Health check","","2026-06-29","passed","2026-06-29","","Health check","features.GetHealthCheck","getHealthCheck"
"Status code validation for 405","40","Status code validation - 405","","2026-06-29","passed","2026-06-29","","Status code validation","features.StatusCodeValidationTest","statusCode405Validation"
"POST call to create a new booking in the database","338","Post create booking","","2026-06-29","passed","2026-06-29","","Post create booking","features.PostCreateBookingTest","postCreateBooking"
"PUT call to update a booking in the database","346","Put update booking","","2026-06-29","passed","2026-06-29","","Put update booking","features.PutUpdateBooking","putUpdateBooking"
"DELETE call to erase a booking in the database","1940","Delete booking","","2026-06-29","passed","2026-06-29","","Delete booking","features.DeleteBooking","deleteBooking"
