"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"POST call to create a new booking in the database","373","Post create booking","","Mon Apr 13 09:50:03 UTC 2026","passed","Mon Apr 13 09:50:03 UTC 2026","","Post create booking","features.PostCreateBookingTest","postCreateBooking"
"Status code validation for 403","57","Status code validation - 403","","Mon Apr 13 09:50:04 UTC 2026","passed","Mon Apr 13 09:50:05 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode403Validation"
"Different calls validations to change the status of a booking form created to deleted","1003","Workflow","","Mon Apr 13 09:50:05 UTC 2026","passed","Mon Apr 13 09:50:06 UTC 2026","","Workflow validation","features.WorkFlowTest","workflow"
"Status code validation for 405","64","Status code validation - 405","","Mon Apr 13 09:50:04 UTC 2026","passed","Mon Apr 13 09:50:04 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode405Validation"
"Status code validation for 500","73","Status code validation - 500","","Mon Apr 13 09:50:04 UTC 2026","passed","Mon Apr 13 09:50:04 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode500Validation"
"PATCH call to partially update a booking in the database","315","Patch partial update booking","","Mon Apr 13 09:50:03 UTC 2026","passed","Mon Apr 13 09:50:03 UTC 2026","","Patch partial update booking","features.PatchPartialUpdateBooking","patchPartialUpdateBooking"
"GET call to retrieve a booking by id","188","Get booking by id","","Mon Apr 13 09:50:02 UTC 2026","passed","Mon Apr 13 09:50:02 UTC 2026","","Get booking by id","features.GetBookingByIdTest","getBookingById"
"Status code validation for 201","55","Status code validation - 201","","Mon Apr 13 09:50:04 UTC 2026","passed","Mon Apr 13 09:50:04 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode201Validation"
"DELETE call to erase a booking in the database","1726","Delete booking","","Mon Apr 13 09:50:00 UTC 2026","passed","Mon Apr 13 09:50:02 UTC 2026","","Delete booking","features.DeleteBooking","deleteBooking"
"GET health check to confirm whether the API is up and running","75","Health check","","Mon Apr 13 09:50:02 UTC 2026","passed","Mon Apr 13 09:50:02 UTC 2026","","Health check","features.GetHealthCheck","getHealthCheck"
"Status code validation for 400","68","Status code validation - 400","","Mon Apr 13 09:50:04 UTC 2026","passed","Mon Apr 13 09:50:04 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode400Validation"
"Status code validation for 404","58","Status code validation - 404","","Mon Apr 13 09:50:04 UTC 2026","passed","Mon Apr 13 09:50:04 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode404Validation"
"Status code validation for 200","98","Status code validation - 200","","Mon Apr 13 09:50:04 UTC 2026","passed","Mon Apr 13 09:50:04 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode200Validation"
"PUT call to update a booking in the database","383","Put update booking","","Mon Apr 13 09:50:03 UTC 2026","passed","Mon Apr 13 09:50:04 UTC 2026","","Put update booking","features.PutUpdateBooking","putUpdateBooking"
"GET call to retrieve all bookings id list","218","Get all booking id list","","Mon Apr 13 09:50:02 UTC 2026","passed","Mon Apr 13 09:50:02 UTC 2026","","Get booking id list","features.GetBookingIdListTest","getAllBookingIdList"
