"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Status code validation for 201","272","Status code validation - 201","","Mon Apr 27 09:59:14 UTC 2026","passed","Mon Apr 27 09:59:14 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode201Validation"
"GET call to retrieve a booking by id","352","Get booking by id","","Mon Apr 27 09:59:07 UTC 2026","passed","Mon Apr 27 09:59:07 UTC 2026","","Get booking by id","features.GetBookingByIdTest","getBookingById"
"Status code validation for 404","293","Status code validation - 404","","Mon Apr 27 09:59:14 UTC 2026","passed","Mon Apr 27 09:59:14 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode404Validation"
"Status code validation for 403","239","Status code validation - 403","","Mon Apr 27 09:59:14 UTC 2026","passed","Mon Apr 27 09:59:14 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode403Validation"
"Status code validation for 405","267","Status code validation - 405","","Mon Apr 27 09:59:12 UTC 2026","passed","Mon Apr 27 09:59:13 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode405Validation"
"DELETE call to erase a booking in the database","2304","Delete booking","","Mon Apr 27 09:59:04 UTC 2026","passed","Mon Apr 27 09:59:06 UTC 2026","","Delete booking","features.DeleteBooking","deleteBooking"
"PUT call to update a booking in the database","695","Put update booking","","Mon Apr 27 09:59:11 UTC 2026","passed","Mon Apr 27 09:59:12 UTC 2026","","Put update booking","features.PutUpdateBooking","putUpdateBooking"
"Status code validation for 400","269","Status code validation - 400","","Mon Apr 27 09:59:13 UTC 2026","passed","Mon Apr 27 09:59:13 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode400Validation"
"Status code validation for 200","404","Status code validation - 200","","Mon Apr 27 09:59:13 UTC 2026","passed","Mon Apr 27 09:59:14 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode200Validation"
"GET call to retrieve all bookings id list","468","Get all booking id list","","Mon Apr 27 09:59:07 UTC 2026","passed","Mon Apr 27 09:59:08 UTC 2026","","Get booking id list","features.GetBookingIdListTest","getAllBookingIdList"
"PATCH call to partially update a booking in the database","714","Patch partial update booking","","Mon Apr 27 09:59:09 UTC 2026","passed","Mon Apr 27 09:59:09 UTC 2026","","Patch partial update booking","features.PatchPartialUpdateBooking","patchPartialUpdateBooking"
"POST call to create a new booking in the database","817","Post create booking","","Mon Apr 27 09:59:09 UTC 2026","passed","Mon Apr 27 09:59:10 UTC 2026","","Post create booking","features.PostCreateBookingTest","postCreateBooking"
"GET health check to confirm whether the API is up and running","281","Health check","","Mon Apr 27 09:59:08 UTC 2026","passed","Mon Apr 27 09:59:08 UTC 2026","","Health check","features.GetHealthCheck","getHealthCheck"
"Status code validation for 500","243","Status code validation - 500","","Mon Apr 27 09:59:13 UTC 2026","passed","Mon Apr 27 09:59:13 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode500Validation"
"Different calls validations to change the status of a booking form created to deleted","2716","Workflow","","Mon Apr 27 09:59:15 UTC 2026","passed","Mon Apr 27 09:59:17 UTC 2026","","Workflow validation","features.WorkFlowTest","workflow"
