"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"POST call to create a new booking in the database","327","Post create booking","","2026-08-13","passed","2026-08-13","","Post create booking","features.PostCreateBookingTest","postCreateBooking"
"GET call to retrieve a booking by id","138","Get booking by id","","2026-08-13","passed","2026-08-13","","Get booking by id","features.GetBookingByIdTest","getBookingById"
"Status code validation for 200","223","Status code validation - 200","","2026-08-13","passed","2026-08-13","","Status code validation","features.StatusCodeValidationTest","statusCode200Validation"
"Status code validation for 400","43","Status code validation - 400","","2026-08-13","passed","2026-08-13","","Status code validation","features.StatusCodeValidationTest","statusCode400Validation"
"PUT call to update a booking in the database","258","Put update booking","","2026-08-13","passed","2026-08-13","","Put update booking","features.PutUpdateBooking","putUpdateBooking"
"Status code validation for 201","45","Status code validation - 201","","2026-08-13","passed","2026-08-13","","Status code validation","features.StatusCodeValidationTest","statusCode201Validation"
"Status code validation for 500","62","Status code validation - 500","","2026-08-13","passed","2026-08-13","","Status code validation","features.StatusCodeValidationTest","statusCode500Validation"
"Status code validation for 404","76","Status code validation - 404","","2026-08-13","passed","2026-08-13","","Status code validation","features.StatusCodeValidationTest","statusCode404Validation"
"Different calls validations to change the status of a booking form created to deleted","798","Workflow","","2026-08-13","passed","2026-08-13","","Workflow validation","features.WorkFlowTest","workflow"
"DELETE call to erase a booking in the database","1875","Delete booking","","2026-08-13","passed","2026-08-13","","Delete booking","features.DeleteBooking","deleteBooking"
"Status code validation for 405","42","Status code validation - 405","","2026-08-13","passed","2026-08-13","","Status code validation","features.StatusCodeValidationTest","statusCode405Validation"
"Status code validation for 403","36","Status code validation - 403","","2026-08-13","passed","2026-08-13","","Status code validation","features.StatusCodeValidationTest","statusCode403Validation"
"GET health check to confirm whether the API is up and running","50","Health check","","2026-08-13","passed","2026-08-13","","Health check","features.GetHealthCheck","getHealthCheck"
"PATCH call to partially update a booking in the database","255","Patch partial update booking","","2026-08-13","passed","2026-08-13","","Patch partial update booking","features.PatchPartialUpdateBooking","patchPartialUpdateBooking"
"GET call to retrieve all bookings id list","629","Get all booking id list","","2026-08-13","passed","2026-08-13","","Get booking id list","features.GetBookingIdListTest","getAllBookingIdList"
