"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Status code validation for 400","375","Status code validation - 400","","2026-09-07","passed","2026-09-07","","Status code validation","features.StatusCodeValidationTest","statusCode400Validation"
"Status code validation for 201","366","Status code validation - 201","","2026-09-07","passed","2026-09-07","","Status code validation","features.StatusCodeValidationTest","statusCode201Validation"
"GET call to retrieve a booking by id","473","Get booking by id","","2026-09-07","passed","2026-09-07","","Get booking by id","features.GetBookingByIdTest","getBookingById"
"PUT call to update a booking in the database","880","Put update booking","","2026-09-07","passed","2026-09-07","","Put update booking","features.PutUpdateBooking","putUpdateBooking"
"Status code validation for 405","361","Status code validation - 405","","2026-09-07","passed","2026-09-07","","Status code validation","features.StatusCodeValidationTest","statusCode405Validation"
"GET health check to confirm whether the API is up and running","372","Health check","","2026-09-07","passed","2026-09-07","","Health check","features.GetHealthCheck","getHealthCheck"
"Status code validation for 403","365","Status code validation - 403","","2026-09-07","passed","2026-09-07","","Status code validation","features.StatusCodeValidationTest","statusCode403Validation"
"PATCH call to partially update a booking in the database","886","Patch partial update booking","","2026-09-07","passed","2026-09-07","","Patch partial update booking","features.PatchPartialUpdateBooking","patchPartialUpdateBooking"
"Status code validation for 200","370","Status code validation - 200","","2026-09-07","passed","2026-09-07","","Status code validation","features.StatusCodeValidationTest","statusCode200Validation"
"Different calls validations to change the status of a booking form created to deleted","3707","Workflow","","2026-09-07","passed","2026-09-07","","Workflow validation","features.WorkFlowTest","workflow"
"Status code validation for 500","373","Status code validation - 500","","2026-09-07","passed","2026-09-07","","Status code validation","features.StatusCodeValidationTest","statusCode500Validation"
"POST call to create a new booking in the database","996","Post create booking","","2026-09-07","passed","2026-09-07","","Post create booking","features.PostCreateBookingTest","postCreateBooking"
"DELETE call to erase a booking in the database","2405","Delete booking","","2026-09-07","passed","2026-09-07","","Delete booking","features.DeleteBooking","deleteBooking"
"GET call to retrieve all bookings id list","444","Get all booking id list","","2026-09-07","passed","2026-09-07","","Get booking id list","features.GetBookingIdListTest","getAllBookingIdList"
"Status code validation for 404","355","Status code validation - 404","","2026-09-07","passed","2026-09-07","","Status code validation","features.StatusCodeValidationTest","statusCode404Validation"
