"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Different calls validations to change the status of a booking form created to deleted","2793","Workflow","","Sun Mar 01 20:33:47 UTC 2026","passed","Sun Mar 01 20:33:49 UTC 2026","","Workflow validation","features.WorkFlowTest","workflow"
"PUT call to update a booking in the database","681","Put update booking","","Sun Mar 01 20:33:43 UTC 2026","passed","Sun Mar 01 20:33:43 UTC 2026","","Put update booking","features.PutUpdateBooking","putUpdateBooking"
"Status code validation for 405","266","Status code validation - 405","","Sun Mar 01 20:33:44 UTC 2026","passed","Sun Mar 01 20:33:45 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode405Validation"
"DELETE call to erase a booking in the database","2318","Delete booking","","Sun Mar 01 20:33:36 UTC 2026","passed","Sun Mar 01 20:33:39 UTC 2026","","Delete booking","features.DeleteBooking","deleteBooking"
"Status code validation for 200","336","Status code validation - 200","","Sun Mar 01 20:33:45 UTC 2026","passed","Sun Mar 01 20:33:45 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode200Validation"
"Status code validation for 400","277","Status code validation - 400","","Sun Mar 01 20:33:45 UTC 2026","passed","Sun Mar 01 20:33:45 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode400Validation"
"POST call to create a new booking in the database","787","Post create booking","","Sun Mar 01 20:33:41 UTC 2026","passed","Sun Mar 01 20:33:42 UTC 2026","","Post create booking","features.PostCreateBookingTest","postCreateBooking"
"GET call to retrieve a booking by id","370","Get booking by id","","Sun Mar 01 20:33:39 UTC 2026","passed","Sun Mar 01 20:33:39 UTC 2026","","Get booking by id","features.GetBookingByIdTest","getBookingById"
"GET health check to confirm whether the API is up and running","280","Health check","","Sun Mar 01 20:33:40 UTC 2026","passed","Sun Mar 01 20:33:40 UTC 2026","","Health check","features.GetHealthCheck","getHealthCheck"
"Status code validation for 403","269","Status code validation - 403","","Sun Mar 01 20:33:46 UTC 2026","passed","Sun Mar 01 20:33:46 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode403Validation"
"Status code validation for 404","268","Status code validation - 404","","Sun Mar 01 20:33:45 UTC 2026","passed","Sun Mar 01 20:33:46 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode404Validation"
"Status code validation for 201","275","Status code validation - 201","","Sun Mar 01 20:33:46 UTC 2026","passed","Sun Mar 01 20:33:46 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode201Validation"
"PATCH call to partially update a booking in the database","705","Patch partial update booking","","Sun Mar 01 20:33:41 UTC 2026","passed","Sun Mar 01 20:33:41 UTC 2026","","Patch partial update booking","features.PatchPartialUpdateBooking","patchPartialUpdateBooking"
"Status code validation for 500","304","Status code validation - 500","","Sun Mar 01 20:33:45 UTC 2026","passed","Sun Mar 01 20:33:45 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode500Validation"
"GET call to retrieve all bookings id list","396","Get all booking id list","","Sun Mar 01 20:33:39 UTC 2026","passed","Sun Mar 01 20:33:40 UTC 2026","","Get booking id list","features.GetBookingIdListTest","getAllBookingIdList"
