"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"GET call to retrieve a booking by id","446","Get booking by id","","Mon Mar 02 09:30:58 UTC 2026","passed","Mon Mar 02 09:30:58 UTC 2026","","Get booking by id","features.GetBookingByIdTest","getBookingById"
"PATCH call to partially update a booking in the database","946","Patch partial update booking","","Mon Mar 02 09:31:00 UTC 2026","passed","Mon Mar 02 09:31:01 UTC 2026","","Patch partial update booking","features.PatchPartialUpdateBooking","patchPartialUpdateBooking"
"Status code validation for 403","378","Status code validation - 403","","Mon Mar 02 09:31:07 UTC 2026","passed","Mon Mar 02 09:31:07 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode403Validation"
"Status code validation for 404","378","Status code validation - 404","","Mon Mar 02 09:31:06 UTC 2026","passed","Mon Mar 02 09:31:07 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode404Validation"
"PUT call to update a booking in the database","946","Put update booking","","Mon Mar 02 09:31:03 UTC 2026","passed","Mon Mar 02 09:31:04 UTC 2026","","Put update booking","features.PutUpdateBooking","putUpdateBooking"
"Status code validation for 405","376","Status code validation - 405","","Mon Mar 02 09:31:05 UTC 2026","passed","Mon Mar 02 09:31:05 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode405Validation"
"Status code validation for 400","394","Status code validation - 400","","Mon Mar 02 09:31:06 UTC 2026","passed","Mon Mar 02 09:31:06 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode400Validation"
"Different calls validations to change the status of a booking form created to deleted","3886","Workflow","","Mon Mar 02 09:31:08 UTC 2026","passed","Mon Mar 02 09:31:12 UTC 2026","","Workflow validation","features.WorkFlowTest","workflow"
"POST call to create a new booking in the database","992","Post create booking","","Mon Mar 02 09:31:01 UTC 2026","passed","Mon Mar 02 09:31:02 UTC 2026","","Post create booking","features.PostCreateBookingTest","postCreateBooking"
"Status code validation for 200","378","Status code validation - 200","","Mon Mar 02 09:31:06 UTC 2026","passed","Mon Mar 02 09:31:06 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode200Validation"
"DELETE call to erase a booking in the database","2612","Delete booking","","Mon Mar 02 09:30:55 UTC 2026","passed","Mon Mar 02 09:30:57 UTC 2026","","Delete booking","features.DeleteBooking","deleteBooking"
"GET health check to confirm whether the API is up and running","385","Health check","","Mon Mar 02 09:30:59 UTC 2026","passed","Mon Mar 02 09:30:59 UTC 2026","","Health check","features.GetHealthCheck","getHealthCheck"
"Status code validation for 201","378","Status code validation - 201","","Mon Mar 02 09:31:07 UTC 2026","passed","Mon Mar 02 09:31:07 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode201Validation"
"GET call to retrieve all bookings id list","404","Get all booking id list","","Mon Mar 02 09:30:58 UTC 2026","passed","Mon Mar 02 09:30:59 UTC 2026","","Get booking id list","features.GetBookingIdListTest","getAllBookingIdList"
"Status code validation for 500","361","Status code validation - 500","","Mon Mar 02 09:31:05 UTC 2026","passed","Mon Mar 02 09:31:06 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode500Validation"
