"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Status code validation for 400","144","Status code validation - 400","","Thu May 21 10:26:58 UTC 2026","passed","Thu May 21 10:26:58 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode400Validation"
"Status code validation for 403","129","Status code validation - 403","","Thu May 21 10:26:58 UTC 2026","passed","Thu May 21 10:26:58 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode403Validation"
"Status code validation for 201","126","Status code validation - 201","","Thu May 21 10:26:58 UTC 2026","passed","Thu May 21 10:26:58 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode201Validation"
"Status code validation for 200","155","Status code validation - 200","","Thu May 21 10:26:58 UTC 2026","passed","Thu May 21 10:26:58 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode200Validation"
"POST call to create a new booking in the database","480","Post create booking","","Thu May 21 10:26:56 UTC 2026","passed","Thu May 21 10:26:56 UTC 2026","","Post create booking","features.PostCreateBookingTest","postCreateBooking"
"Status code validation for 404","131","Status code validation - 404","","Thu May 21 10:26:58 UTC 2026","passed","Thu May 21 10:26:58 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode404Validation"
"GET call to retrieve a booking by id","218","Get booking by id","","Thu May 21 10:26:54 UTC 2026","passed","Thu May 21 10:26:55 UTC 2026","","Get booking by id","features.GetBookingByIdTest","getBookingById"
"PUT call to update a booking in the database","428","Put update booking","","Thu May 21 10:26:56 UTC 2026","passed","Thu May 21 10:26:57 UTC 2026","","Put update booking","features.PutUpdateBooking","putUpdateBooking"
"Status code validation for 405","135","Status code validation - 405","","Thu May 21 10:26:57 UTC 2026","passed","Thu May 21 10:26:57 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode405Validation"
"Status code validation for 500","147","Status code validation - 500","","Thu May 21 10:26:57 UTC 2026","passed","Thu May 21 10:26:58 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode500Validation"
"GET call to retrieve all bookings id list","254","Get all booking id list","","Thu May 21 10:26:55 UTC 2026","passed","Thu May 21 10:26:55 UTC 2026","","Get booking id list","features.GetBookingIdListTest","getAllBookingIdList"
"PATCH call to partially update a booking in the database","409","Patch partial update booking","","Thu May 21 10:26:55 UTC 2026","passed","Thu May 21 10:26:56 UTC 2026","","Patch partial update booking","features.PatchPartialUpdateBooking","patchPartialUpdateBooking"
"GET health check to confirm whether the API is up and running","137","Health check","","Thu May 21 10:26:55 UTC 2026","passed","Thu May 21 10:26:55 UTC 2026","","Health check","features.GetHealthCheck","getHealthCheck"
"Different calls validations to change the status of a booking form created to deleted","1588","Workflow","","Thu May 21 10:26:58 UTC 2026","passed","Thu May 21 10:27:00 UTC 2026","","Workflow validation","features.WorkFlowTest","workflow"
"DELETE call to erase a booking in the database","1539","Delete booking","","Thu May 21 10:26:53 UTC 2026","passed","Thu May 21 10:26:54 UTC 2026","","Delete booking","features.DeleteBooking","deleteBooking"
