"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Status code validation for 400","387","Status code validation - 400","","Thu Mar 12 09:28:17 UTC 2026","passed","Thu Mar 12 09:28:18 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode400Validation"
"Status code validation for 405","365","Status code validation - 405","","Thu Mar 12 09:28:17 UTC 2026","passed","Thu Mar 12 09:28:17 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode405Validation"
"Status code validation for 403","377","Status code validation - 403","","Thu Mar 12 09:28:19 UTC 2026","passed","Thu Mar 12 09:28:19 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode403Validation"
"GET call to retrieve all bookings id list","685","Get all booking id list","","Thu Mar 12 09:28:10 UTC 2026","passed","Thu Mar 12 09:28:11 UTC 2026","","Get booking id list","features.GetBookingIdListTest","getAllBookingIdList"
"Status code validation for 200","516","Status code validation - 200","","Thu Mar 12 09:28:18 UTC 2026","passed","Thu Mar 12 09:28:18 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode200Validation"
"DELETE call to erase a booking in the database","2330","Delete booking","","Thu Mar 12 09:28:06 UTC 2026","passed","Thu Mar 12 09:28:09 UTC 2026","","Delete booking","features.DeleteBooking","deleteBooking"
"Status code validation for 500","367","Status code validation - 500","","Thu Mar 12 09:28:17 UTC 2026","passed","Thu Mar 12 09:28:17 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode500Validation"
"PUT call to update a booking in the database","938","Put update booking","","Thu Mar 12 09:28:15 UTC 2026","passed","Thu Mar 12 09:28:15 UTC 2026","","Put update booking","features.PutUpdateBooking","putUpdateBooking"
"GET call to retrieve a booking by id","416","Get booking by id","","Thu Mar 12 09:28:09 UTC 2026","broken","Thu Mar 12 09:28:10 UTC 2026","","Get booking by id","features.GetBookingByIdTest","getBookingById"
"Status code validation for 201","358","Status code validation - 201","","Thu Mar 12 09:28:19 UTC 2026","passed","Thu Mar 12 09:28:19 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode201Validation"
"POST call to create a new booking in the database","1019","Post create booking","","Thu Mar 12 09:28:13 UTC 2026","passed","Thu Mar 12 09:28:14 UTC 2026","","Post create booking","features.PostCreateBookingTest","postCreateBooking"
"GET health check to confirm whether the API is up and running","402","Health check","","Thu Mar 12 09:28:11 UTC 2026","passed","Thu Mar 12 09:28:11 UTC 2026","","Health check","features.GetHealthCheck","getHealthCheck"
"PATCH call to partially update a booking in the database","929","Patch partial update booking","","Thu Mar 12 09:28:12 UTC 2026","passed","Thu Mar 12 09:28:13 UTC 2026","","Patch partial update booking","features.PatchPartialUpdateBooking","patchPartialUpdateBooking"
"Status code validation for 404","381","Status code validation - 404","","Thu Mar 12 09:28:18 UTC 2026","passed","Thu Mar 12 09:28:19 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode404Validation"
"Different calls validations to change the status of a booking form created to deleted","3785","Workflow","","Thu Mar 12 09:28:20 UTC 2026","passed","Thu Mar 12 09:28:23 UTC 2026","","Workflow validation","features.WorkFlowTest","workflow"
