"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"PUT call to update a booking in the database","416","Put update booking","","Mon May 18 10:41:51 UTC 2026","passed","Mon May 18 10:41:51 UTC 2026","","Put update booking","features.PutUpdateBooking","putUpdateBooking"
"GET call to retrieve a booking by id","229","Get booking by id","","Mon May 18 10:41:49 UTC 2026","passed","Mon May 18 10:41:49 UTC 2026","","Get booking by id","features.GetBookingByIdTest","getBookingById"
"POST call to create a new booking in the database","493","Post create booking","","Mon May 18 10:41:50 UTC 2026","passed","Mon May 18 10:41:51 UTC 2026","","Post create booking","features.PostCreateBookingTest","postCreateBooking"
"GET call to retrieve all bookings id list","168","Get all booking id list","","Mon May 18 10:41:49 UTC 2026","passed","Mon May 18 10:41:49 UTC 2026","","Get booking id list","features.GetBookingIdListTest","getAllBookingIdList"
"Status code validation for 403","135","Status code validation - 403","","Mon May 18 10:41:53 UTC 2026","passed","Mon May 18 10:41:53 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode403Validation"
"PATCH call to partially update a booking in the database","421","Patch partial update booking","","Mon May 18 10:41:50 UTC 2026","passed","Mon May 18 10:41:50 UTC 2026","","Patch partial update booking","features.PatchPartialUpdateBooking","patchPartialUpdateBooking"
"Status code validation for 404","116","Status code validation - 404","","Mon May 18 10:41:52 UTC 2026","passed","Mon May 18 10:41:52 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode404Validation"
"GET health check to confirm whether the API is up and running","138","Health check","","Mon May 18 10:41:49 UTC 2026","passed","Mon May 18 10:41:50 UTC 2026","","Health check","features.GetHealthCheck","getHealthCheck"
"Status code validation for 405","115","Status code validation - 405","","Mon May 18 10:41:52 UTC 2026","passed","Mon May 18 10:41:52 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode405Validation"
"Status code validation for 201","124","Status code validation - 201","","Mon May 18 10:41:52 UTC 2026","passed","Mon May 18 10:41:53 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode201Validation"
"DELETE call to erase a booking in the database","2164","Delete booking","","Mon May 18 10:41:47 UTC 2026","passed","Mon May 18 10:41:49 UTC 2026","","Delete booking","features.DeleteBooking","deleteBooking"
"Status code validation for 200","122","Status code validation - 200","","Mon May 18 10:41:52 UTC 2026","passed","Mon May 18 10:41:52 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode200Validation"
"Status code validation for 400","130","Status code validation - 400","","Mon May 18 10:41:52 UTC 2026","passed","Mon May 18 10:41:52 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode400Validation"
"Different calls validations to change the status of a booking form created to deleted","1586","Workflow","","Mon May 18 10:41:53 UTC 2026","passed","Mon May 18 10:41:54 UTC 2026","","Workflow validation","features.WorkFlowTest","workflow"
"Status code validation for 500","125","Status code validation - 500","","Mon May 18 10:41:52 UTC 2026","passed","Mon May 18 10:41:52 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode500Validation"
