"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Different calls validations to change the status of a booking form created to deleted","3078","Workflow","","Mon Apr 20 09:50:45 UTC 2026","passed","Mon Apr 20 09:50:48 UTC 2026","","Workflow validation","features.WorkFlowTest","workflow"
"Status code validation for 400","321","Status code validation - 400","","Mon Apr 20 09:50:43 UTC 2026","passed","Mon Apr 20 09:50:43 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode400Validation"
"Status code validation for 403","289","Status code validation - 403","","Mon Apr 20 09:50:45 UTC 2026","passed","Mon Apr 20 09:50:45 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode403Validation"
"PATCH call to partially update a booking in the database","772","Patch partial update booking","","Mon Apr 20 09:50:38 UTC 2026","passed","Mon Apr 20 09:50:39 UTC 2026","","Patch partial update booking","features.PatchPartialUpdateBooking","patchPartialUpdateBooking"
"Status code validation for 500","296","Status code validation - 500","","Mon Apr 20 09:50:43 UTC 2026","passed","Mon Apr 20 09:50:43 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode500Validation"
"PUT call to update a booking in the database","755","Put update booking","","Mon Apr 20 09:50:41 UTC 2026","passed","Mon Apr 20 09:50:41 UTC 2026","","Put update booking","features.PutUpdateBooking","putUpdateBooking"
"Status code validation for 201","327","Status code validation - 201","","Mon Apr 20 09:50:44 UTC 2026","passed","Mon Apr 20 09:50:45 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode201Validation"
"POST call to create a new booking in the database","840","Post create booking","","Mon Apr 20 09:50:39 UTC 2026","passed","Mon Apr 20 09:50:40 UTC 2026","","Post create booking","features.PostCreateBookingTest","postCreateBooking"
"DELETE call to erase a booking in the database","2507","Delete booking","","Mon Apr 20 09:50:32 UTC 2026","passed","Mon Apr 20 09:50:35 UTC 2026","","Delete booking","features.DeleteBooking","deleteBooking"
"Status code validation for 200","679","Status code validation - 200","","Mon Apr 20 09:50:43 UTC 2026","passed","Mon Apr 20 09:50:44 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode200Validation"
"Status code validation for 404","283","Status code validation - 404","","Mon Apr 20 09:50:44 UTC 2026","passed","Mon Apr 20 09:50:44 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode404Validation"
"GET call to retrieve a booking by id","452","Get booking by id","","Mon Apr 20 09:50:36 UTC 2026","passed","Mon Apr 20 09:50:36 UTC 2026","","Get booking by id","features.GetBookingByIdTest","getBookingById"
"GET call to retrieve all bookings id list","916","Get all booking id list","","Mon Apr 20 09:50:36 UTC 2026","passed","Mon Apr 20 09:50:37 UTC 2026","","Get booking id list","features.GetBookingIdListTest","getAllBookingIdList"
"GET health check to confirm whether the API is up and running","323","Health check","","Mon Apr 20 09:50:37 UTC 2026","passed","Mon Apr 20 09:50:38 UTC 2026","","Health check","features.GetHealthCheck","getHealthCheck"
"Status code validation for 405","334","Status code validation - 405","","Mon Apr 20 09:50:42 UTC 2026","passed","Mon Apr 20 09:50:43 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode405Validation"
