"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Status code validation for 500","361","Status code validation - 500","","2026-08-03","passed","2026-08-03","","Status code validation","features.StatusCodeValidationTest","statusCode500Validation"
"Status code validation for 200","444","Status code validation - 200","","2026-08-03","passed","2026-08-03","","Status code validation","features.StatusCodeValidationTest","statusCode200Validation"
"Status code validation for 400","373","Status code validation - 400","","2026-08-03","passed","2026-08-03","","Status code validation","features.StatusCodeValidationTest","statusCode400Validation"
"DELETE call to erase a booking in the database","2539","Delete booking","","2026-08-03","passed","2026-08-03","","Delete booking","features.DeleteBooking","deleteBooking"
"Status code validation for 405","375","Status code validation - 405","","2026-08-03","passed","2026-08-03","","Status code validation","features.StatusCodeValidationTest","statusCode405Validation"
"GET health check to confirm whether the API is up and running","399","Health check","","2026-08-03","passed","2026-08-03","","Health check","features.GetHealthCheck","getHealthCheck"
"Status code validation for 403","386","Status code validation - 403","","2026-08-03","passed","2026-08-03","","Status code validation","features.StatusCodeValidationTest","statusCode403Validation"
"PATCH call to partially update a booking in the database","963","Patch partial update booking","","2026-08-03","passed","2026-08-03","","Patch partial update booking","features.PatchPartialUpdateBooking","patchPartialUpdateBooking"
"POST call to create a new booking in the database","1035","Post create booking","","2026-08-03","passed","2026-08-03","","Post create booking","features.PostCreateBookingTest","postCreateBooking"
"Different calls validations to change the status of a booking form created to deleted","3736","Workflow","","2026-08-03","passed","2026-08-03","","Workflow validation","features.WorkFlowTest","workflow"
"GET call to retrieve a booking by id","491","Get booking by id","","2026-08-03","passed","2026-08-03","","Get booking by id","features.GetBookingByIdTest","getBookingById"
"PUT call to update a booking in the database","950","Put update booking","","2026-08-03","passed","2026-08-03","","Put update booking","features.PutUpdateBooking","putUpdateBooking"
"Status code validation for 404","378","Status code validation - 404","","2026-08-03","passed","2026-08-03","","Status code validation","features.StatusCodeValidationTest","statusCode404Validation"
"GET call to retrieve all bookings id list","564","Get all booking id list","","2026-08-03","passed","2026-08-03","","Get booking id list","features.GetBookingIdListTest","getAllBookingIdList"
"Status code validation for 201","370","Status code validation - 201","","2026-08-03","passed","2026-08-03","","Status code validation","features.StatusCodeValidationTest","statusCode201Validation"
