"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Status code validation for 500","54","Status code validation - 500","","2026-09-17","passed","2026-09-17","","Status code validation","features.StatusCodeValidationTest","statusCode500Validation"
"Status code validation for 201","44","Status code validation - 201","","2026-09-17","passed","2026-09-17","","Status code validation","features.StatusCodeValidationTest","statusCode201Validation"
"Different calls validations to change the status of a booking form created to deleted","1086","Workflow","","2026-09-17","passed","2026-09-17","","Workflow validation","features.WorkFlowTest","workflow"
"POST call to create a new booking in the database","362","Post create booking","","2026-09-17","passed","2026-09-17","","Post create booking","features.PostCreateBookingTest","postCreateBooking"
"Status code validation for 405","43","Status code validation - 405","","2026-09-17","passed","2026-09-17","","Status code validation","features.StatusCodeValidationTest","statusCode405Validation"
"GET call to retrieve a booking by id","244","Get booking by id","","2026-09-17","passed","2026-09-17","","Get booking by id","features.GetBookingByIdTest","getBookingById"
"PATCH call to partially update a booking in the database","292","Patch partial update booking","","2026-09-17","passed","2026-09-17","","Patch partial update booking","features.PatchPartialUpdateBooking","patchPartialUpdateBooking"
"GET health check to confirm whether the API is up and running","51","Health check","","2026-09-17","passed","2026-09-17","","Health check","features.GetHealthCheck","getHealthCheck"
"PUT call to update a booking in the database","331","Put update booking","","2026-09-17","passed","2026-09-17","","Put update booking","features.PutUpdateBooking","putUpdateBooking"
"Status code validation for 400","55","Status code validation - 400","","2026-09-17","passed","2026-09-17","","Status code validation","features.StatusCodeValidationTest","statusCode400Validation"
"DELETE call to erase a booking in the database","1968","Delete booking","","2026-09-17","passed","2026-09-17","","Delete booking","features.DeleteBooking","deleteBooking"
"GET call to retrieve all bookings id list","180","Get all booking id list","","2026-09-17","passed","2026-09-17","","Get booking id list","features.GetBookingIdListTest","getAllBookingIdList"
"Status code validation for 404","45","Status code validation - 404","","2026-09-17","passed","2026-09-17","","Status code validation","features.StatusCodeValidationTest","statusCode404Validation"
"Status code validation for 403","40","Status code validation - 403","","2026-09-17","passed","2026-09-17","","Status code validation","features.StatusCodeValidationTest","statusCode403Validation"
"Status code validation for 200","70","Status code validation - 200","","2026-09-17","passed","2026-09-17","","Status code validation","features.StatusCodeValidationTest","statusCode200Validation"
