"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Status code validation for 403","180","Status code validation - 403","","Mon Mar 30 09:45:30 UTC 2026","passed","Mon Mar 30 09:45:31 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode403Validation"
"PUT call to update a booking in the database","577","Put update booking","","Mon Mar 30 09:45:28 UTC 2026","passed","Mon Mar 30 09:45:28 UTC 2026","","Put update booking","features.PutUpdateBooking","putUpdateBooking"
"Status code validation for 400","213","Status code validation - 400","","Mon Mar 30 09:45:29 UTC 2026","passed","Mon Mar 30 09:45:30 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode400Validation"
"PATCH call to partially update a booking in the database","558","Patch partial update booking","","Mon Mar 30 09:45:26 UTC 2026","passed","Mon Mar 30 09:45:27 UTC 2026","","Patch partial update booking","features.PatchPartialUpdateBooking","patchPartialUpdateBooking"
"DELETE call to erase a booking in the database","2087","Delete booking","","Mon Mar 30 09:45:22 UTC 2026","passed","Mon Mar 30 09:45:25 UTC 2026","","Delete booking","features.DeleteBooking","deleteBooking"
"Status code validation for 404","176","Status code validation - 404","","Mon Mar 30 09:45:30 UTC 2026","passed","Mon Mar 30 09:45:30 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode404Validation"
"Status code validation for 500","172","Status code validation - 500","","Mon Mar 30 09:45:29 UTC 2026","passed","Mon Mar 30 09:45:29 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode500Validation"
"Status code validation for 201","202","Status code validation - 201","","Mon Mar 30 09:45:30 UTC 2026","passed","Mon Mar 30 09:45:30 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode201Validation"
"Status code validation for 200","279","Status code validation - 200","","Mon Mar 30 09:45:30 UTC 2026","passed","Mon Mar 30 09:45:30 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode200Validation"
"Status code validation for 405","205","Status code validation - 405","","Mon Mar 30 09:45:29 UTC 2026","passed","Mon Mar 30 09:45:29 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode405Validation"
"GET call to retrieve all bookings id list","346","Get all booking id list","","Mon Mar 30 09:45:25 UTC 2026","passed","Mon Mar 30 09:45:26 UTC 2026","","Get booking id list","features.GetBookingIdListTest","getAllBookingIdList"
"GET health check to confirm whether the API is up and running","209","Health check","","Mon Mar 30 09:45:26 UTC 2026","passed","Mon Mar 30 09:45:26 UTC 2026","","Health check","features.GetHealthCheck","getHealthCheck"
"POST call to create a new booking in the database","683","Post create booking","","Mon Mar 30 09:45:27 UTC 2026","passed","Mon Mar 30 09:45:28 UTC 2026","","Post create booking","features.PostCreateBookingTest","postCreateBooking"
"GET call to retrieve a booking by id","280","Get booking by id","","Mon Mar 30 09:45:25 UTC 2026","passed","Mon Mar 30 09:45:25 UTC 2026","","Get booking by id","features.GetBookingByIdTest","getBookingById"
"Different calls validations to change the status of a booking form created to deleted","2132","Workflow","","Mon Mar 30 09:45:31 UTC 2026","passed","Mon Mar 30 09:45:33 UTC 2026","","Workflow validation","features.WorkFlowTest","workflow"
