"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"PATCH call to partially update a booking in the database","696","Patch partial update booking","","2026-08-10","passed","2026-08-10","","Patch partial update booking","features.PatchPartialUpdateBooking","patchPartialUpdateBooking"
"Status code validation for 405","277","Status code validation - 405","","2026-08-10","passed","2026-08-10","","Status code validation","features.StatusCodeValidationTest","statusCode405Validation"
"GET call to retrieve all bookings id list","396","Get all booking id list","","2026-08-10","passed","2026-08-10","","Get booking id list","features.GetBookingIdListTest","getAllBookingIdList"
"GET call to retrieve a booking by id","379","Get booking by id","","2026-08-10","passed","2026-08-10","","Get booking by id","features.GetBookingByIdTest","getBookingById"
"POST call to create a new booking in the database","768","Post create booking","","2026-08-10","passed","2026-08-10","","Post create booking","features.PostCreateBookingTest","postCreateBooking"
"Status code validation for 201","276","Status code validation - 201","","2026-08-10","passed","2026-08-10","","Status code validation","features.StatusCodeValidationTest","statusCode201Validation"
"Different calls validations to change the status of a booking form created to deleted","2814","Workflow","","2026-08-10","passed","2026-08-10","","Workflow validation","features.WorkFlowTest","workflow"
"PUT call to update a booking in the database","700","Put update booking","","2026-08-10","passed","2026-08-10","","Put update booking","features.PutUpdateBooking","putUpdateBooking"
"Status code validation for 200","319","Status code validation - 200","","2026-08-10","passed","2026-08-10","","Status code validation","features.StatusCodeValidationTest","statusCode200Validation"
"Status code validation for 403","260","Status code validation - 403","","2026-08-10","passed","2026-08-10","","Status code validation","features.StatusCodeValidationTest","statusCode403Validation"
"Status code validation for 400","277","Status code validation - 400","","2026-08-10","passed","2026-08-10","","Status code validation","features.StatusCodeValidationTest","statusCode400Validation"
"Status code validation for 500","278","Status code validation - 500","","2026-08-10","passed","2026-08-10","","Status code validation","features.StatusCodeValidationTest","statusCode500Validation"
"Status code validation for 404","271","Status code validation - 404","","2026-08-10","passed","2026-08-10","","Status code validation","features.StatusCodeValidationTest","statusCode404Validation"
"GET health check to confirm whether the API is up and running","268","Health check","","2026-08-10","passed","2026-08-10","","Health check","features.GetHealthCheck","getHealthCheck"
"DELETE call to erase a booking in the database","2281","Delete booking","","2026-08-10","passed","2026-08-10","","Delete booking","features.DeleteBooking","deleteBooking"
