"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"GET health check to confirm whether the API is up and running","375","Health check","","Thu May 14 09:58:14 UTC 2026","passed","Thu May 14 09:58:14 UTC 2026","","Health check","features.GetHealthCheck","getHealthCheck"
"Status code validation for 400","392","Status code validation - 400","","Thu May 14 09:58:21 UTC 2026","passed","Thu May 14 09:58:21 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode400Validation"
"Status code validation for 403","374","Status code validation - 403","","Thu May 14 09:58:22 UTC 2026","passed","Thu May 14 09:58:23 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode403Validation"
"PUT call to update a booking in the database","891","Put update booking","","Thu May 14 09:58:18 UTC 2026","passed","Thu May 14 09:58:19 UTC 2026","","Put update booking","features.PutUpdateBooking","putUpdateBooking"
"Status code validation for 200","521","Status code validation - 200","","Thu May 14 09:58:21 UTC 2026","passed","Thu May 14 09:58:22 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode200Validation"
"Status code validation for 404","383","Status code validation - 404","","Thu May 14 09:58:22 UTC 2026","passed","Thu May 14 09:58:22 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode404Validation"
"POST call to create a new booking in the database","1001","Post create booking","","Thu May 14 09:58:16 UTC 2026","passed","Thu May 14 09:58:17 UTC 2026","","Post create booking","features.PostCreateBookingTest","postCreateBooking"
"Status code validation for 500","369","Status code validation - 500","","Thu May 14 09:58:20 UTC 2026","passed","Thu May 14 09:58:21 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode500Validation"
"Status code validation for 201","356","Status code validation - 201","","Thu May 14 09:58:22 UTC 2026","passed","Thu May 14 09:58:22 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode201Validation"
"PATCH call to partially update a booking in the database","886","Patch partial update booking","","Thu May 14 09:58:15 UTC 2026","passed","Thu May 14 09:58:16 UTC 2026","","Patch partial update booking","features.PatchPartialUpdateBooking","patchPartialUpdateBooking"
"Status code validation for 405","355","Status code validation - 405","","Thu May 14 09:58:20 UTC 2026","passed","Thu May 14 09:58:20 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode405Validation"
"Different calls validations to change the status of a booking form created to deleted","3733","Workflow","","Thu May 14 09:58:23 UTC 2026","passed","Thu May 14 09:58:27 UTC 2026","","Workflow validation","features.WorkFlowTest","workflow"
"GET call to retrieve a booking by id","446","Get booking by id","","Thu May 14 09:58:13 UTC 2026","passed","Thu May 14 09:58:13 UTC 2026","","Get booking by id","features.GetBookingByIdTest","getBookingById"
"GET call to retrieve all bookings id list","640","Get all booking id list","","Thu May 14 09:58:13 UTC 2026","passed","Thu May 14 09:58:14 UTC 2026","","Get booking id list","features.GetBookingIdListTest","getAllBookingIdList"
"DELETE call to erase a booking in the database","2488","Delete booking","","Thu May 14 09:58:10 UTC 2026","passed","Thu May 14 09:58:12 UTC 2026","","Delete booking","features.DeleteBooking","deleteBooking"
