"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"GET call to retrieve a booking by id","442","Get booking by id","","2026-09-14","passed","2026-09-14","","Get booking by id","features.GetBookingByIdTest","getBookingById"
"PATCH call to partially update a booking in the database","854","Patch partial update booking","","2026-09-14","passed","2026-09-14","","Patch partial update booking","features.PatchPartialUpdateBooking","patchPartialUpdateBooking"
"Status code validation for 405","358","Status code validation - 405","","2026-09-14","passed","2026-09-14","","Status code validation","features.StatusCodeValidationTest","statusCode405Validation"
"Status code validation for 400","361","Status code validation - 400","","2026-09-14","passed","2026-09-14","","Status code validation","features.StatusCodeValidationTest","statusCode400Validation"
"Different calls validations to change the status of a booking form created to deleted","3571","Workflow","","2026-09-14","passed","2026-09-14","","Workflow validation","features.WorkFlowTest","workflow"
"Status code validation for 200","441","Status code validation - 200","","2026-09-14","passed","2026-09-14","","Status code validation","features.StatusCodeValidationTest","statusCode200Validation"
"GET call to retrieve all bookings id list","492","Get all booking id list","","2026-09-14","passed","2026-09-14","","Get booking id list","features.GetBookingIdListTest","getAllBookingIdList"
"PUT call to update a booking in the database","861","Put update booking","","2026-09-14","passed","2026-09-14","","Put update booking","features.PutUpdateBooking","putUpdateBooking"
"Status code validation for 404","362","Status code validation - 404","","2026-09-14","passed","2026-09-14","","Status code validation","features.StatusCodeValidationTest","statusCode404Validation"
"Status code validation for 403","363","Status code validation - 403","","2026-09-14","passed","2026-09-14","","Status code validation","features.StatusCodeValidationTest","statusCode403Validation"
"Status code validation for 500","359","Status code validation - 500","","2026-09-14","passed","2026-09-14","","Status code validation","features.StatusCodeValidationTest","statusCode500Validation"
"Status code validation for 201","362","Status code validation - 201","","2026-09-14","passed","2026-09-14","","Status code validation","features.StatusCodeValidationTest","statusCode201Validation"
"POST call to create a new booking in the database","930","Post create booking","","2026-09-14","passed","2026-09-14","","Post create booking","features.PostCreateBookingTest","postCreateBooking"
"GET health check to confirm whether the API is up and running","371","Health check","","2026-09-14","passed","2026-09-14","","Health check","features.GetHealthCheck","getHealthCheck"
"DELETE call to erase a booking in the database","2018","Delete booking","","2026-09-14","passed","2026-09-14","","Delete booking","features.DeleteBooking","deleteBooking"
