"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"POST call to create a new booking in the database","418","Post create booking","","Thu Mar 05 09:28:00 UTC 2026","passed","Thu Mar 05 09:28:00 UTC 2026","","Post create booking","features.PostCreateBookingTest","postCreateBooking"
"GET health check to confirm whether the API is up and running","65","Health check","","Thu Mar 05 09:27:59 UTC 2026","passed","Thu Mar 05 09:27:59 UTC 2026","","Health check","features.GetHealthCheck","getHealthCheck"
"Status code validation for 200","101","Status code validation - 200","","Thu Mar 05 09:28:01 UTC 2026","passed","Thu Mar 05 09:28:01 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode200Validation"
"GET call to retrieve a booking by id","150","Get booking by id","","Thu Mar 05 09:27:59 UTC 2026","passed","Thu Mar 05 09:27:59 UTC 2026","","Get booking by id","features.GetBookingByIdTest","getBookingById"
"PUT call to update a booking in the database","297","Put update booking","","Thu Mar 05 09:28:00 UTC 2026","passed","Thu Mar 05 09:28:01 UTC 2026","","Put update booking","features.PutUpdateBooking","putUpdateBooking"
"DELETE call to erase a booking in the database","1870","Delete booking","","Thu Mar 05 09:27:57 UTC 2026","passed","Thu Mar 05 09:27:59 UTC 2026","","Delete booking","features.DeleteBooking","deleteBooking"
"Status code validation for 404","57","Status code validation - 404","","Thu Mar 05 09:28:01 UTC 2026","passed","Thu Mar 05 09:28:01 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode404Validation"
"Status code validation for 403","53","Status code validation - 403","","Thu Mar 05 09:28:01 UTC 2026","passed","Thu Mar 05 09:28:01 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode403Validation"
"GET call to retrieve all bookings id list","186","Get all booking id list","","Thu Mar 05 09:27:59 UTC 2026","passed","Thu Mar 05 09:27:59 UTC 2026","","Get booking id list","features.GetBookingIdListTest","getAllBookingIdList"
"PATCH call to partially update a booking in the database","310","Patch partial update booking","","Thu Mar 05 09:28:00 UTC 2026","passed","Thu Mar 05 09:28:00 UTC 2026","","Patch partial update booking","features.PatchPartialUpdateBooking","patchPartialUpdateBooking"
"Status code validation for 500","74","Status code validation - 500","","Thu Mar 05 09:28:01 UTC 2026","passed","Thu Mar 05 09:28:01 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode500Validation"
"Status code validation for 400","66","Status code validation - 400","","Thu Mar 05 09:28:01 UTC 2026","passed","Thu Mar 05 09:28:01 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode400Validation"
"Status code validation for 201","60","Status code validation - 201","","Thu Mar 05 09:28:01 UTC 2026","passed","Thu Mar 05 09:28:01 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode201Validation"
"Different calls validations to change the status of a booking form created to deleted","987","Workflow","","Thu Mar 05 09:28:01 UTC 2026","passed","Thu Mar 05 09:28:02 UTC 2026","","Workflow validation","features.WorkFlowTest","workflow"
"Status code validation for 405","64","Status code validation - 405","","Thu Mar 05 09:28:01 UTC 2026","passed","Thu Mar 05 09:28:01 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode405Validation"
