"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 04 09:18:54 GMT 2025","Mon Aug 04 09:18:54 GMT 2025","38","","Status code validation","","features.StatusCodeValidationTest","statusCode500Validation","Status code validation - 500","Status code validation for 500"
"passed","Mon Aug 04 09:18:52 GMT 2025","Mon Aug 04 09:18:53 GMT 2025","140","","Get booking by id","","features.GetBookingByIdTest","getBookingById","Get booking by id","GET call to retrieve a booking by id"
"passed","Mon Aug 04 09:18:54 GMT 2025","Mon Aug 04 09:18:54 GMT 2025","37","","Status code validation","","features.StatusCodeValidationTest","statusCode400Validation","Status code validation - 400","Status code validation for 400"
"passed","Mon Aug 04 09:18:54 GMT 2025","Mon Aug 04 09:18:54 GMT 2025","31","","Status code validation","","features.StatusCodeValidationTest","statusCode403Validation","Status code validation - 403","Status code validation for 403"
"passed","Mon Aug 04 09:18:54 GMT 2025","Mon Aug 04 09:18:55 GMT 2025","732","","Workflow validation","","features.WorkFlowTest","workflow","Workflow","Different calls validations to change the status of a booking form created to deleted"
"passed","Mon Aug 04 09:18:53 GMT 2025","Mon Aug 04 09:18:53 GMT 2025","237","","Get booking id list","","features.GetBookingIdListTest","getAllBookingIdList","Get all booking id list","GET call to retrieve all bookings id list"
"passed","Mon Aug 04 09:18:54 GMT 2025","Mon Aug 04 09:18:54 GMT 2025","39","","Status code validation","","features.StatusCodeValidationTest","statusCode405Validation","Status code validation - 405","Status code validation for 405"
"passed","Mon Aug 04 09:18:54 GMT 2025","Mon Aug 04 09:18:54 GMT 2025","34","","Status code validation","","features.StatusCodeValidationTest","statusCode404Validation","Status code validation - 404","Status code validation for 404"
"passed","Mon Aug 04 09:18:54 GMT 2025","Mon Aug 04 09:18:54 GMT 2025","57","","Status code validation","","features.StatusCodeValidationTest","statusCode200Validation","Status code validation - 200","Status code validation for 200"
"passed","Mon Aug 04 09:18:53 GMT 2025","Mon Aug 04 09:18:54 GMT 2025","347","","Post create booking","","features.PostCreateBookingTest","postCreateBooking","Post create booking","POST call to create a new booking in the database"
"passed","Mon Aug 04 09:18:50 GMT 2025","Mon Aug 04 09:18:52 GMT 2025","1957","","Delete booking","","features.DeleteBooking","deleteBooking","Delete booking","DELETE call to erase a booking in the database"
"passed","Mon Aug 04 09:18:53 GMT 2025","Mon Aug 04 09:18:53 GMT 2025","245","","Patch partial update booking","","features.PatchPartialUpdateBooking","patchPartialUpdateBooking","Patch partial update booking","PATCH call to partially update a booking in the database"
"passed","Mon Aug 04 09:18:54 GMT 2025","Mon Aug 04 09:18:54 GMT 2025","30","","Status code validation","","features.StatusCodeValidationTest","statusCode201Validation","Status code validation - 201","Status code validation for 201"
"passed","Mon Aug 04 09:18:53 GMT 2025","Mon Aug 04 09:18:53 GMT 2025","42","","Health check","","features.GetHealthCheck","getHealthCheck","Health check","GET health check to confirm whether the API is up and running"
"passed","Mon Aug 04 09:18:54 GMT 2025","Mon Aug 04 09:18:54 GMT 2025","363","","Put update booking","","features.PutUpdateBooking","putUpdateBooking","Put update booking","PUT call to update a booking in the database"
