"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 07 09:16:29 GMT 2025","Mon Apr 07 09:16:29 GMT 2025","53","","Status code validation","","features.StatusCodeValidationTest","statusCode404Validation","Status code validation - 404","Status code validation for 404"
"passed","Mon Apr 07 09:16:25 GMT 2025","Mon Apr 07 09:16:27 GMT 2025","1798","","Delete booking","","features.DeleteBooking","deleteBooking","Delete booking","DELETE call to erase a booking in the database"
"passed","Mon Apr 07 09:16:28 GMT 2025","Mon Apr 07 09:16:28 GMT 2025","264","","Patch partial update booking","","features.PatchPartialUpdateBooking","patchPartialUpdateBooking","Patch partial update booking","PATCH call to partially update a booking in the database"
"passed","Mon Apr 07 09:16:29 GMT 2025","Mon Apr 07 09:16:29 GMT 2025","52","","Status code validation","","features.StatusCodeValidationTest","statusCode400Validation","Status code validation - 400","Status code validation for 400"
"passed","Mon Apr 07 09:16:27 GMT 2025","Mon Apr 07 09:16:28 GMT 2025","200","","Get booking id list","","features.GetBookingIdListTest","getAllBookingIdList","Get all booking id list","GET call to retrieve all bookings id list"
"passed","Mon Apr 07 09:16:29 GMT 2025","Mon Apr 07 09:16:29 GMT 2025","82","","Status code validation","","features.StatusCodeValidationTest","statusCode200Validation","Status code validation - 200","Status code validation for 200"
"passed","Mon Apr 07 09:16:28 GMT 2025","Mon Apr 07 09:16:28 GMT 2025","403","","Post create booking","","features.PostCreateBookingTest","postCreateBooking","Post create booking","POST call to create a new booking in the database"
"passed","Mon Apr 07 09:16:29 GMT 2025","Mon Apr 07 09:16:29 GMT 2025","59","","Status code validation","","features.StatusCodeValidationTest","statusCode405Validation","Status code validation - 405","Status code validation for 405"
"passed","Mon Apr 07 09:16:28 GMT 2025","Mon Apr 07 09:16:28 GMT 2025","71","","Health check","","features.GetHealthCheck","getHealthCheck","Health check","GET health check to confirm whether the API is up and running"
"passed","Mon Apr 07 09:16:29 GMT 2025","Mon Apr 07 09:16:29 GMT 2025","47","","Status code validation","","features.StatusCodeValidationTest","statusCode403Validation","Status code validation - 403","Status code validation for 403"
"passed","Mon Apr 07 09:16:27 GMT 2025","Mon Apr 07 09:16:27 GMT 2025","136","","Get booking by id","","features.GetBookingByIdTest","getBookingById","Get booking by id","GET call to retrieve a booking by id"
"passed","Mon Apr 07 09:16:29 GMT 2025","Mon Apr 07 09:16:29 GMT 2025","52","","Status code validation","","features.StatusCodeValidationTest","statusCode201Validation","Status code validation - 201","Status code validation for 201"
"passed","Mon Apr 07 09:16:29 GMT 2025","Mon Apr 07 09:16:29 GMT 2025","282","","Put update booking","","features.PutUpdateBooking","putUpdateBooking","Put update booking","PUT call to update a booking in the database"
"passed","Mon Apr 07 09:16:29 GMT 2025","Mon Apr 07 09:16:30 GMT 2025","885","","Workflow validation","","features.WorkFlowTest","workflow","Workflow","Different calls validations to change the status of a booking form created to deleted"
"passed","Mon Apr 07 09:16:29 GMT 2025","Mon Apr 07 09:16:29 GMT 2025","55","","Status code validation","","features.StatusCodeValidationTest","statusCode500Validation","Status code validation - 500","Status code validation for 500"
