"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Status code validation for 400","319","Status code validation - 400","","2026-08-20","passed","2026-08-20","","Status code validation","features.StatusCodeValidationTest","statusCode400Validation"
"Status code validation for 403","312","Status code validation - 403","","2026-08-20","passed","2026-08-20","","Status code validation","features.StatusCodeValidationTest","statusCode403Validation"
"DELETE call to erase a booking in the database","2025","Delete booking","","2026-08-20","passed","2026-08-20","","Delete booking","features.DeleteBooking","deleteBooking"
"GET call to retrieve a booking by id","385","Get booking by id","","2026-08-20","passed","2026-08-20","","Get booking by id","features.GetBookingByIdTest","getBookingById"
"POST call to create a new booking in the database","813","Post create booking","","2026-08-20","passed","2026-08-20","","Post create booking","features.PostCreateBookingTest","postCreateBooking"
"Status code validation for 500","323","Status code validation - 500","","2026-08-20","passed","2026-08-20","","Status code validation","features.StatusCodeValidationTest","statusCode500Validation"
"Different calls validations to change the status of a booking form created to deleted","3058","Workflow","","2026-08-20","passed","2026-08-20","","Workflow validation","features.WorkFlowTest","workflow"
"Status code validation for 200","429","Status code validation - 200","","2026-08-20","passed","2026-08-20","","Status code validation","features.StatusCodeValidationTest","statusCode200Validation"
"GET health check to confirm whether the API is up and running","301","Health check","","2026-08-20","passed","2026-08-20","","Health check","features.GetHealthCheck","getHealthCheck"
"GET call to retrieve all bookings id list","472","Get all booking id list","","2026-08-20","passed","2026-08-20","","Get booking id list","features.GetBookingIdListTest","getAllBookingIdList"
"PATCH call to partially update a booking in the database","734","Patch partial update booking","","2026-08-20","passed","2026-08-20","","Patch partial update booking","features.PatchPartialUpdateBooking","patchPartialUpdateBooking"
"Status code validation for 201","312","Status code validation - 201","","2026-08-20","passed","2026-08-20","","Status code validation","features.StatusCodeValidationTest","statusCode201Validation"
"Status code validation for 405","295","Status code validation - 405","","2026-08-20","passed","2026-08-20","","Status code validation","features.StatusCodeValidationTest","statusCode405Validation"
"Status code validation for 404","287","Status code validation - 404","","2026-08-20","passed","2026-08-20","","Status code validation","features.StatusCodeValidationTest","statusCode404Validation"
"PUT call to update a booking in the database","747","Put update booking","","2026-08-20","passed","2026-08-20","","Put update booking","features.PutUpdateBooking","putUpdateBooking"
