"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"GET call to retrieve all bookings id list","337","Get all booking id list","","Mon May 04 09:59:31 UTC 2026","passed","Mon May 04 09:59:31 UTC 2026","","Get booking id list","features.GetBookingIdListTest","getAllBookingIdList"
"Status code validation for 400","140","Status code validation - 400","","Mon May 04 09:59:34 UTC 2026","passed","Mon May 04 09:59:34 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode400Validation"
"PUT call to update a booking in the database","419","Put update booking","","Mon May 04 09:59:33 UTC 2026","passed","Mon May 04 09:59:34 UTC 2026","","Put update booking","features.PutUpdateBooking","putUpdateBooking"
"GET health check to confirm whether the API is up and running","176","Health check","","Mon May 04 09:59:32 UTC 2026","passed","Mon May 04 09:59:32 UTC 2026","","Health check","features.GetHealthCheck","getHealthCheck"
"Status code validation for 403","115","Status code validation - 403","","Mon May 04 09:59:35 UTC 2026","passed","Mon May 04 09:59:35 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode403Validation"
"Status code validation for 404","112","Status code validation - 404","","Mon May 04 09:59:35 UTC 2026","passed","Mon May 04 09:59:35 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode404Validation"
"Status code validation for 405","111","Status code validation - 405","","Mon May 04 09:59:34 UTC 2026","passed","Mon May 04 09:59:34 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode405Validation"
"GET call to retrieve a booking by id","241","Get booking by id","","Mon May 04 09:59:31 UTC 2026","passed","Mon May 04 09:59:31 UTC 2026","","Get booking by id","features.GetBookingByIdTest","getBookingById"
"DELETE call to erase a booking in the database","2004","Delete booking","","Mon May 04 09:59:29 UTC 2026","passed","Mon May 04 09:59:31 UTC 2026","","Delete booking","features.DeleteBooking","deleteBooking"
"Status code validation for 500","148","Status code validation - 500","","Mon May 04 09:59:34 UTC 2026","passed","Mon May 04 09:59:34 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode500Validation"
"PATCH call to partially update a booking in the database","414","Patch partial update booking","","Mon May 04 09:59:32 UTC 2026","passed","Mon May 04 09:59:32 UTC 2026","","Patch partial update booking","features.PatchPartialUpdateBooking","patchPartialUpdateBooking"
"Different calls validations to change the status of a booking form created to deleted","1522","Workflow","","Mon May 04 09:59:35 UTC 2026","passed","Mon May 04 09:59:37 UTC 2026","","Workflow validation","features.WorkFlowTest","workflow"
"POST call to create a new booking in the database","532","Post create booking","","Mon May 04 09:59:32 UTC 2026","passed","Mon May 04 09:59:33 UTC 2026","","Post create booking","features.PostCreateBookingTest","postCreateBooking"
"Status code validation for 200","174","Status code validation - 200","","Mon May 04 09:59:34 UTC 2026","passed","Mon May 04 09:59:35 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode200Validation"
"Status code validation for 201","117","Status code validation - 201","","Mon May 04 09:59:35 UTC 2026","passed","Mon May 04 09:59:35 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode201Validation"
