"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Status code validation for 404","163","Status code validation - 404","","2026-07-13","passed","2026-07-13","","Status code validation","features.StatusCodeValidationTest","statusCode404Validation"
"GET call to retrieve all bookings id list","376","Get all booking id list","","2026-07-13","passed","2026-07-13","","Get booking id list","features.GetBookingIdListTest","getAllBookingIdList"
"Status code validation for 200","244","Status code validation - 200","","2026-07-13","passed","2026-07-13","","Status code validation","features.StatusCodeValidationTest","statusCode200Validation"
"Status code validation for 400","218","Status code validation - 400","","2026-07-13","passed","2026-07-13","","Status code validation","features.StatusCodeValidationTest","statusCode400Validation"
"Status code validation for 201","163","Status code validation - 201","","2026-07-13","passed","2026-07-13","","Status code validation","features.StatusCodeValidationTest","statusCode201Validation"
"GET call to retrieve a booking by id","298","Get booking by id","","2026-07-13","passed","2026-07-13","","Get booking by id","features.GetBookingByIdTest","getBookingById"
"POST call to create a new booking in the database","578","Post create booking","","2026-07-13","passed","2026-07-13","","Post create booking","features.PostCreateBookingTest","postCreateBooking"
"Different calls validations to change the status of a booking form created to deleted","2068","Workflow","","2026-07-13","passed","2026-07-13","","Workflow validation","features.WorkFlowTest","workflow"
"Status code validation for 500","203","Status code validation - 500","","2026-07-13","passed","2026-07-13","","Status code validation","features.StatusCodeValidationTest","statusCode500Validation"
"Status code validation for 403","192","Status code validation - 403","","2026-07-13","passed","2026-07-13","","Status code validation","features.StatusCodeValidationTest","statusCode403Validation"
"PUT call to update a booking in the database","592","Put update booking","","2026-07-13","passed","2026-07-13","","Put update booking","features.PutUpdateBooking","putUpdateBooking"
"GET health check to confirm whether the API is up and running","215","Health check","","2026-07-13","passed","2026-07-13","","Health check","features.GetHealthCheck","getHealthCheck"
"Status code validation for 405","162","Status code validation - 405","","2026-07-13","passed","2026-07-13","","Status code validation","features.StatusCodeValidationTest","statusCode405Validation"
"DELETE call to erase a booking in the database","2201","Delete booking","","2026-07-13","passed","2026-07-13","","Delete booking","features.DeleteBooking","deleteBooking"
"PATCH call to partially update a booking in the database","500","Patch partial update booking","","2026-07-13","passed","2026-07-13","","Patch partial update booking","features.PatchPartialUpdateBooking","patchPartialUpdateBooking"
