"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Status code validation for 404","59","Status code validation - 404","","Thu Apr 09 09:41:27 UTC 2026","passed","Thu Apr 09 09:41:27 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode404Validation"
"Status code validation for 405","63","Status code validation - 405","","Thu Apr 09 09:41:26 UTC 2026","passed","Thu Apr 09 09:41:26 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode405Validation"
"PATCH call to partially update a booking in the database","340","Patch partial update booking","","Thu Apr 09 09:41:25 UTC 2026","passed","Thu Apr 09 09:41:25 UTC 2026","","Patch partial update booking","features.PatchPartialUpdateBooking","patchPartialUpdateBooking"
"GET call to retrieve a booking by id","178","Get booking by id","","Thu Apr 09 09:41:24 UTC 2026","passed","Thu Apr 09 09:41:24 UTC 2026","","Get booking by id","features.GetBookingByIdTest","getBookingById"
"Status code validation for 500","75","Status code validation - 500","","Thu Apr 09 09:41:26 UTC 2026","passed","Thu Apr 09 09:41:26 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode500Validation"
"POST call to create a new booking in the database","435","Post create booking","","Thu Apr 09 09:41:25 UTC 2026","passed","Thu Apr 09 09:41:26 UTC 2026","","Post create booking","features.PostCreateBookingTest","postCreateBooking"
"PUT call to update a booking in the database","352","Put update booking","","Thu Apr 09 09:41:26 UTC 2026","passed","Thu Apr 09 09:41:26 UTC 2026","","Put update booking","features.PutUpdateBooking","putUpdateBooking"
"Different calls validations to change the status of a booking form created to deleted","1167","Workflow","","Thu Apr 09 09:41:27 UTC 2026","passed","Thu Apr 09 09:41:28 UTC 2026","","Workflow validation","features.WorkFlowTest","workflow"
"Status code validation for 201","67","Status code validation - 201","","Thu Apr 09 09:41:27 UTC 2026","passed","Thu Apr 09 09:41:27 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode201Validation"
"Status code validation for 400","69","Status code validation - 400","","Thu Apr 09 09:41:26 UTC 2026","passed","Thu Apr 09 09:41:26 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode400Validation"
"DELETE call to erase a booking in the database","1893","Delete booking","","Thu Apr 09 09:41:22 UTC 2026","passed","Thu Apr 09 09:41:24 UTC 2026","","Delete booking","features.DeleteBooking","deleteBooking"
"GET health check to confirm whether the API is up and running","69","Health check","","Thu Apr 09 09:41:25 UTC 2026","passed","Thu Apr 09 09:41:25 UTC 2026","","Health check","features.GetHealthCheck","getHealthCheck"
"Status code validation for 200","63","Status code validation - 200","","Thu Apr 09 09:41:26 UTC 2026","passed","Thu Apr 09 09:41:27 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode200Validation"
"GET call to retrieve all bookings id list","83","Get all booking id list","","Thu Apr 09 09:41:24 UTC 2026","passed","Thu Apr 09 09:41:25 UTC 2026","","Get booking id list","features.GetBookingIdListTest","getAllBookingIdList"
"Status code validation for 403","57","Status code validation - 403","","Thu Apr 09 09:41:27 UTC 2026","passed","Thu Apr 09 09:41:27 UTC 2026","","Status code validation","features.StatusCodeValidationTest","statusCode403Validation"
